main_id,ghg_id,distance_m,facility_name,facility_name_ghg,similarity_partial_score,similarity_token_set
QC-MAIN-5801b453,11736.0,16970.47,Abcourt-Barvue,North American Lithium,34.78260869565217,27.77777777777777
QC-MAIN-d29e0839,,,Sleeping Giant,,,
QC-MAIN-f1ff4920,,,Akasaba West,,,
NU-MAIN-4ea8ac9d,,,Amaruq,,,
QC-MAIN-e7e6a960,10669.0,280.35,Canadian Malartic,Mine Canadian Malartic,100.0,100.0
QC-MAIN-e7e6a960,11770.0,19482.08,Canadian Malartic,Division Goldex,29.629629629629626,25.0
ON-MAIN-aeafbb59,10765.0,985.0,Detour Lake,Detour Lake Project,100.0,100.0
QC-MAIN-c0660aec,10669.0,19457.98,Goldex,Mine Canadian Malartic,19.999999999999996,14.285714285714292
QC-MAIN-c0660aec,11770.0,62.13,Goldex,Division Goldex,100.0,100.0
QC-MAIN-e51eda66,10911.0,7301.98,LaRonde,La mine Doyon,57.14285714285714,40.0
QC-MAIN-e51eda66,11794.0,2868.24,LaRonde,Division Laronde,85.71428571428572,52.17391304347826
QC-MAIN-e51eda66,12752.0,7270.32,LaRonde,Fayolle,46.15384615384615,42.857142857142854
ON-MAIN-1f126a43,10617.0,918.61,Macassa,Macassa Mine,100.0,100.0
NU-MAIN-730aefe3,10587.0,1025.05,Meadowbank,Division Meadowbank,100.0,100.0
NU-MAIN-8b0264c9,,,Meliadine,,,
MB-MAIN-5d21dbd5,,,Monument Bay,,,
ON-MAIN-74997012,,,Upper Beaver,,,
ON-MAIN-687b8c8d,10917.0,10524.77,Island,Island Gold Mine,100.0,100.0
ON-MAIN-7607a50e,11375.0,217.4,Young-Davidson,Young-Davidson,100.0,100.0
QC-MAIN-52c01ae4,10013.0,319.43,Baie-Comeau,Aluminerie de Baie-Comeau,100.0,100.0
QC-MAIN-eac5a52b,10300.0,162.68,Deschambault,Aluminerie de Deschambault,100.0,100.0
QC-MAIN-eac5a52b,11390.0,18087.95,Deschambault,Fonderie Bibby Sainte-Croix,25.0,15.384615384615387
QC-MAIN-81a288d0,10907.0,11227.47,Elysis,La Mine Niobec,18.181818181818176,10.0
QC-MAIN-81a288d0,10103.0,3994.91,Elysis,Elkem Métal Chicoutimi,50.0,14.285714285714292
QC-MAIN-81a288d0,10296.0,1282.07,Elysis,Usine Arvida,44.44444444444444,22.22222222222223
QC-MAIN-81a288d0,10307.0,15058.27,Elysis,Usine Laterrière,44.44444444444444,18.181818181818187
QC-MAIN-81a288d0,10791.0,1402.67,Elysis,Aluminerie Arvida - Centre technologique AP60,36.36363636363637,7.843137254901961
QC-MAIN-81a288d0,11730.0,772.45,Elysis,Usine Vaudreuil,44.44444444444444,19.04761904761905
QC-MAIN-c8966bdc,10014.0,273.62,Bécancour,Aluminerie de Bécancour inc.,100.0,100.0
QC-MAIN-c8966bdc,10657.0,1124.2,Bécancour,Quebec Silicon LP,33.333333333333336,23.07692307692308
ON-MAIN-eab8c362,10011.0,261.98,Algoma Steel,Algoma Steel Inc,100.0,100.0
ON-MAIN-eab8c362,10643.0,1041.19,Algoma Steel,Tenaris Algoma Tubes,66.66666666666667,66.66666666666666
