main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
QC-MAIN-5801b453,,,Abcourt-Barvue,,,
QC-MAIN-d29e0839,QC-MINCAN-a6163f93,646.83,Sleeping Giant,Sleeping Giant,100.0,100.0
QC-MAIN-f1ff4920,,,Akasaba West,,,
NU-MAIN-4ea8ac9d,NU-MINCAN-4efe1cae,0.0,Amaruq,Amaruq,100.0,100.0
QC-MAIN-e7e6a960,QC-MINCAN-494c7715,15902.5,Canadian Malartic,Kiena,44.44444444444444,27.272727272727266
QC-MAIN-e7e6a960,QC-MINCAN-44904232,19527.86,Canadian Malartic,Goldex,18.181818181818176,8.695652173913047
QC-MAIN-e7e6a960,QC-MINCAN-920ca787,2434.97,Canadian Malartic,Canadian Malartic,100.0,100.0
QC-MAIN-e7e6a960,QC-MINCAN-6f83c124,994.32,Canadian Malartic,Canadian Malartic,100.0,100.0
QC-MAIN-e7e6a960,QC-MINCAN-b4d15252,2199.68,Canadian Malartic,Mine Barnat (Sladen),42.85714285714286,43.24324324324324
ON-MAIN-aeafbb59,ON-MINCAN-7b832414,466.91,Detour Lake,Detour Lake,100.0,100.0
QC-MAIN-c0660aec,QC-MINCAN-494c7715,4592.64,Goldex,Kiena,28.57142857142857,18.181818181818187
QC-MAIN-c0660aec,QC-MINCAN-44904232,0.0,Goldex,Goldex,100.0,100.0
QC-MAIN-c0660aec,QC-MINCAN-920ca787,17464.11,Goldex,Canadian Malartic,18.181818181818176,8.695652173913047
QC-MAIN-c0660aec,QC-MINCAN-6f83c124,19449.35,Goldex,Canadian Malartic,18.181818181818176,8.695652173913047
QC-MAIN-c0660aec,QC-MINCAN-b4d15252,18027.28,Goldex,Mine Barnat (Sladen),50.0,23.07692307692308
QC-MAIN-c0660aec,QC-MINCAN-0feebe9d,2377.8,Goldex,Joubi,28.57142857142857,18.181818181818187
QC-MAIN-e51eda66,QC-MINCAN-8321e85e,1017.16,LaRonde,LaRonde,100.0,100.0
QC-MAIN-e51eda66,QC-MINCAN-efafa693,5533.19,LaRonde,Westwood,44.44444444444444,26.66666666666667
ON-MAIN-1f126a43,ON-MINCAN-cf9a5c80,1862.07,Macassa,Macassas,100.0,93.33333333333333
NU-MAIN-730aefe3,NU-MINCAN-1d9e43a7,1158.75,Meadowbank,Meadowbank,100.0,100.0
