row_id,climate_category_id,main_id,name,geometry,year,scenario,category
CC-251d6364-1991_2020-historical-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,POINT (-55.196 48.715909),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-842ba1b4-1991_2020-historical-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,POINT (-55.7753 49.845),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-c139de6d-1991_2020-historical-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,POINT (-56.087 49.915),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f021107e-1991_2020-historical-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,POINT (-56.124447 49.96142),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-2d8801d6-1991_2020-historical-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,POINT (-62.090855 56.331659),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-b64bae7a-1991_2020-historical-1,NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,POINT (-66.912573 52.907129),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-dd723db4-1991_2020-historical-1,NL-MAIN-dd723db4,NL-MAIN-dd723db4,Carol Lake,POINT (-66.936774 53.039755),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-e09881ff-1991_2020-historical-1,NL-MAIN-e09881ff,NL-MAIN-e09881ff,DSO (3 and 4),POINT (-67.081916 54.890828),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-c9c77a59-1991_2020-historical-1,NS-MAIN-c9c77a59,NS-MAIN-c9c77a59,Moose River Consolidated,POINT (-62.94292 44.98243),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-baf0bfbd-1991_2020-historical-1,NS-MAIN-baf0bfbd,NS-MAIN-baf0bfbd,Donkin,POINT (-59.825861 46.178108),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-fb4e8e94-1991_2020-historical-1,NS-MAIN-fb4e8e94,NS-MAIN-fb4e8e94,Stellarton,POINT (-62.682864 45.566074),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e82266c5-1991_2020-historical-1,QC-MAIN-e82266c5,QC-MAIN-e82266c5,Lac Tio,POINT (-63.416 50.5541),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-089f3c60-1991_2020-historical-1,QC-MAIN-089f3c60,QC-MAIN-089f3c60,Bloom Lake,POINT (-67.28 52.84),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-084bd95c-1991_2020-historical-1,QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,POINT (-67.330058 52.757053),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-b8c826a2-1991_2020-historical-1,QC-MAIN-b8c826a2,QC-MAIN-b8c826a2,DSO (Goodwood),POINT (-67.34778 55.09939),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-33c09b8b-1991_2020-historical-1,QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,POINT (-67.363935 52.352998),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-a555d9b9-1991_2020-historical-1,QC-MAIN-a555d9b9,QC-MAIN-a555d9b9,Niobec,POINT (-71.156929 48.532148),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-a97821c0-1991_2020-historical-1,QC-MAIN-a97821c0,QC-MAIN-a97821c0,Raglan,POINT (-73.674669 61.687171),1991_2020,historical,"ET - Polar, tundra"
CC-5ce331b8-1991_2020-historical-1,QC-MAIN-5ce331b8,QC-MAIN-5ce331b8,Nunavik Nickel,POINT (-74.1375 61.420856),1991_2020,historical,"ET - Polar, tundra"
CC-6dc537e6-1991_2020-historical-1,QC-MAIN-6dc537e6,QC-MAIN-6dc537e6,Éléonore,POINT (-76.08667 52.69889),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-f9e41c2a-1991_2020-historical-1,QC-MAIN-f9e41c2a,QC-MAIN-f9e41c2a,Lamaque,POINT (-77.739624 48.079221),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-dc1a16f9-1991_2020-historical-1,QC-MAIN-dc1a16f9,QC-MAIN-dc1a16f9,North American Lithium,POINT (-77.80934 48.4115),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c0660aec-1991_2020-historical-1,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,POINT (-77.8733 48.0926),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-9de9bb0d-1991_2020-historical-1,QC-MAIN-9de9bb0d,QC-MAIN-9de9bb0d,Kiena,POINT (-77.91 48.12),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-d29e0839-1991_2020-historical-1,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,POINT (-77.97434 49.13259),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e7e6a960-1991_2020-historical-1,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,POINT (-78.130824 48.122223),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e51eda66-1991_2020-historical-1,QC-MAIN-e51eda66,QC-MAIN-e51eda66,LaRonde,POINT (-78.428 48.2516),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-02884fb5-1991_2020-historical-1,QC-MAIN-02884fb5,QC-MAIN-02884fb5,Westwood-Doyon,POINT (-78.502 48.256),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-b86f7d07-1991_2020-historical-1,QC-MAIN-b86f7d07,QC-MAIN-b86f7d07,Casa Berardi,POINT (-79.231307 49.5719),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-3032c251-1991_2020-historical-1,QC-MAIN-3032c251,QC-MAIN-3032c251,Renard,POINT (-72.190579 52.813913),1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-aeafbb59-1991_2020-historical-1,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,POINT (-79.717631 50.018143),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-1f126a43-1991_2020-historical-1,ON-MAIN-1f126a43,ON-MAIN-1f126a43,Macassa,POINT (-80.071637 48.142528),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-4e0734b5-1991_2020-historical-1,ON-MAIN-4e0734b5,ON-MAIN-4e0734b5,Fox Complex,POINT (-80.340814 48.534362),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-7607a50e-1991_2020-historical-1,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,POINT (-80.67444 47.94667),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-fcb287a4-1991_2020-historical-1,ON-MAIN-fcb287a4,ON-MAIN-fcb287a4,Nickel Rim South,POINT (-80.796793 46.657982),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-48fe2205-1991_2020-historical-1,ON-MAIN-48fe2205,ON-MAIN-48fe2205,Garson,POINT (-80.857 46.568),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-de2f9639-1991_2020-historical-1,ON-MAIN-de2f9639,ON-MAIN-de2f9639,Clarabelle,POINT (-81.056782 46.495822),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f080c409-1991_2020-historical-1,ON-MAIN-f080c409,ON-MAIN-f080c409,Copper Cliff Complex,POINT (-81.068205 46.491445),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-538513cd-1991_2020-historical-1,ON-MAIN-538513cd,ON-MAIN-538513cd,Hoyle Pond,POINT (-81.1083 48.5519),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-bfbcd72e-1991_2020-historical-1,ON-MAIN-bfbcd72e,ON-MAIN-bfbcd72e,Bell Creek,POINT (-81.178 48.553),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-52224e1e-1991_2020-historical-1,ON-MAIN-52224e1e,ON-MAIN-52224e1e,Creighton,POINT (-81.1861 46.474),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-3b3e5365-1991_2020-historical-1,ON-MAIN-3b3e5365,ON-MAIN-3b3e5365,Porcupine,POINT (-81.242719 48.463511),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-8629a493-1991_2020-historical-1,ON-MAIN-8629a493,ON-MAIN-8629a493,Hollinger,POINT (-81.31314 48.4733),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-6e9b2449-1991_2020-historical-1,ON-MAIN-6e9b2449,ON-MAIN-6e9b2449,Coleman,POINT (-81.3397 46.6771),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-206041d1-1991_2020-historical-1,ON-MAIN-206041d1,ON-MAIN-206041d1,Fraser,POINT (-81.3404 46.6633),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-ed85ac94-1991_2020-historical-1,ON-MAIN-ed85ac94,ON-MAIN-ed85ac94,Strathcona,POINT (-81.3427 46.6734),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f8313ebd-1991_2020-historical-1,ON-MAIN-f8313ebd,ON-MAIN-f8313ebd,Kidd Creek,POINT (-81.37 48.6894),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-7001a391-1991_2020-historical-1,ON-MAIN-7001a391,ON-MAIN-7001a391,McCreedy West,POINT (-81.39894 46.638059),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-28f3f0fc-1991_2020-historical-1,ON-MAIN-28f3f0fc,ON-MAIN-28f3f0fc,Totten,POINT (-81.454839 46.381174),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f3e6ff08-1991_2020-historical-1,ON-MAIN-f3e6ff08,ON-MAIN-f3e6ff08,Timmins West,POINT (-81.549826 48.383275),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-1c674cd0-1991_2020-historical-1,ON-MAIN-1c674cd0,ON-MAIN-1c674cd0,Borden,POINT (-83.260981 47.871883),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-687b8c8d-1991_2020-historical-1,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,POINT (-84.449604 48.285667),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-8825d90d-1991_2020-historical-1,ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,POINT (-84.45744 48.28869),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f4fc3276-1991_2020-historical-1,ON-MAIN-f4fc3276,ON-MAIN-f4fc3276,Sugar Zone,POINT (-85.00401 48.80496),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c5fefb01-1991_2020-historical-1,ON-MAIN-c5fefb01,ON-MAIN-c5fefb01,Mishi,POINT (-85.4525 48.11028),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-cb85213a-1991_2020-historical-1,ON-MAIN-cb85213a,ON-MAIN-cb85213a,Eagle River,POINT (-85.4619 47.9861),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-6e9be24e-1991_2020-historical-1,ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),POINT (-85.91598 48.695726),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-a3c56a83-1991_2020-historical-1,ON-MAIN-a3c56a83,ON-MAIN-a3c56a83,Lac des Iles,POINT (-89.6105 49.1691),1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
