row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,compartment,flow_type,subflow_type,substance,unit,value,comment,source,source_id
ENV_INT-GRP-0a2c0d69-2023-1,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.25211488183174835,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042049,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042049
ENV_INT-GRP-0a2c0d69-2023-2,2023,Facility-group,Agnico Eagle Mines Limited,Meadowbank,-,GRP-0a2c0d69,,mining,"Open-pit, underground, concentrator",Gold,Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,2.24430424698344,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042050,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042050
ENV_INT-4ea8ac9d-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.5593410545680798,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042154,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042154
ENV_INT-4ea8ac9d-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,4.849037466890153,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042155,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042155
ENV_INT-730aefe3-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.4370680362691015,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042133,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042133
ENV_INT-730aefe3-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,,mining,Concentrator,"Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,0.8445270965060057,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042134,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042134
ENV_INT-8b0264c9-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.6315166931499504,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042112,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042112
ENV_INT-8b0264c9-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,12.931689622605415,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042113,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042113
ENV_INT-1f126a43-2023-1,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/t of ore processed,0.03242599309372303,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042091,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042091
ENV_INT-1f126a43-2023-2,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Water,water,Freshwater withdrawn for use intensity,-,m3 of water/oz of gold,0.9280570810937134,,Agnico-Eagle-2023-Sustainability-Performance-Data_25042092,SRC_AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042092
