year,ghg_id,facility_name_ghg,longitude,latitude,city,province,sector,ghge_ktCO2eq,facility_url,source_df,geometry
2022,NL-ghg-cecd6869-1,Carol Project,-66.9002,52.952,Labrador City,Newfoundland and Labrador,Iron Ore Mining,826.03,https://climate-change.canada.ca/facility-emissions/GHGRP-G10052-2022.html,ghg_facility_metal_mining_df,POINT (-66.9002 52.952)
2022,NT-ghg-31241bb1-1,Ekati Diamond Mine,-110.6201,64.7195,Yellowknife,Northwest Territories,Diamond Mining,164.88,https://climate-change.canada.ca/facility-emissions/GHGRP-G10101-2022.html,ghg_facility_metal_mining_df,POINT (-110.6201 64.7195)
2022,MB-ghg-e042d527-1,HBMS Flin Flon Metallurgical Complex,-101.884,54.771,Flin Flon,Manitoba,Copper-Zinc Ore Mining,29.73,https://climate-change.canada.ca/facility-emissions/GHGRP-G10140-2022.html,ghg_facility_metal_mining_df,POINT (-101.884 54.771)
2022,ON-ghg-9d5ad41e-1,Kidd Metallurgical Site,-81.09115,48.57373,Timmins District of Cochrane,Ontario,Copper-Zinc Ore Mining,30.82,https://climate-change.canada.ca/facility-emissions/GHGRP-G10164-2022.html,ghg_facility_metal_mining_df,POINT (-81.09115 48.57373)
2022,QC-ghg-aed00909-1,Mine de Mont-Wright,-67.33306,52.76639,Fermont,Quebec,Iron Ore Mining,293.1,https://climate-change.canada.ca/facility-emissions/GHGRP-G10188-2022.html,ghg_facility_metal_mining_df,POINT (-67.33306 52.76639)
2022,QC-ghg-6043ea82-1,Mines Wabush - Sept-Iles,-66.4838,50.1616,SeptÎles,Quebec,Iron Ore Mining,,https://climate-change.canada.ca/facility-emissions/GHGRP-G10189-2013.html,ghg_facility_metal_mining_df,POINT (-66.4838 50.1616)
2022,SK-ghg-a86dedd8-1,Mosaic Potash Belle Plaine,-105.19838,50.42872,Belle Plaine,Saskatchewan,Potash Mining,717.41,https://climate-change.canada.ca/facility-emissions/GHGRP-G10195-2022.html,ghg_facility_metal_mining_df,POINT (-105.19838 50.42872)
2022,QC-ghg-934c30f3-1,Mine Raglan,-73.6666,61.6916,Rouyn Noranda,Quebec,Nickel-Copper Ore Mining,129.26,https://climate-change.canada.ca/facility-emissions/GHGRP-G10240-2022.html,ghg_facility_metal_mining_df,POINT (-73.6666 61.6916)
2022,QC-ghg-d53e65f8-1,Usine de Bouletage de Port-Cartier,-66.791,50.0334,Port Cartier,Quebec,Iron Ore Mining,909.89,https://climate-change.canada.ca/facility-emissions/GHGRP-G10299-2022.html,ghg_facility_metal_mining_df,POINT (-66.791 50.0334)
2022,NL-ghg-d95421f0-1,Wabush Mines - Scully,-66.86054,52.88682,Wabush,Newfoundland and Labrador,Iron Ore Mining,110.93,https://climate-change.canada.ca/facility-emissions/GHGRP-G10350-2022.html,ghg_facility_metal_mining_df,POINT (-66.86054 52.88682)
2022,NT-ghg-2229ee98-1,Diavik Diamond Mines (2012) Inc.,-110.2832,64.4951,Yellowknife,Northwest Territories,Diamond Mining,194.56,https://climate-change.canada.ca/facility-emissions/GHGRP-G10381-2022.html,ghg_facility_metal_mining_df,POINT (-110.2832 64.4951)
2022,BC-ghg-b17c8365-1,Teck Highland Valley Copper Partnership,-121.02132,50.47235,Logan Lake,British Columbia,Copper-Zinc Ore Mining,167.63,https://climate-change.canada.ca/facility-emissions/GHGRP-G10385-2022.html,ghg_facility_metal_mining_df,POINT (-121.02132 50.47235)
2022,ZZ-ghg-50cbc7e7-1,Kapuskasing Phosphate Operations,0.0,0.0,,Ontario,All Other Non-Metallic Mineral Mining and Quarrying,,https://climate-change.canada.ca/facility-emissions/GHGRP-G10418-2009.html,ghg_facility_metal_mining_df,POINT (0 0)
2022,SK-ghg-d1feba8d-1,Vanscoy Potash Operations,-107.0936,52.0057,Vanscoy,Saskatchewan,Potash Mining,54.75,https://climate-change.canada.ca/facility-emissions/GHGRP-G10419-2022.html,ghg_facility_metal_mining_df,POINT (-107.0936 52.0057)
2022,ON-ghg-83e6ad88-1,Musselwhite Mine,-90.36806,52.60389,"Concession, Kenora District",Ontario,Gold and Silver Ore Mining,42.15,https://climate-change.canada.ca/facility-emissions/GHGRP-G10468-2022.html,ghg_facility_metal_mining_df,POINT (-90.36806 52.60389)
2022,SK-ghg-bdcf5a1d-1,Potash Corp - Allan Division,-106.084,51.9386,Allan,Saskatchewan,Potash Mining,104.14,https://climate-change.canada.ca/facility-emissions/GHGRP-G10533-2022.html,ghg_facility_metal_mining_df,POINT (-106.084 51.9386)
2022,QC-ghg-10adad24-1,Mine Bachelor,-76.1247,49.4934,Desmaraisville,Quebec,Gold and Silver Ore Mining,,https://climate-change.canada.ca/facility-emissions/GHGRP-G10541-2016.html,ghg_facility_metal_mining_df,POINT (-76.1247 49.4934)
2022,QC-ghg-9f967ec1-1,Mine Barry,-75.46,48.59,Desmaraisville,Quebec,Gold and Silver Ore Mining,,https://climate-change.canada.ca/facility-emissions/GHGRP-G10542-2016.html,ghg_facility_metal_mining_df,POINT (-75.46 48.59)
2022,MB-ghg-e1055629-1,Thompson Operations,-97.8561,55.7138,Thompson,Manitoba,Nickel-Copper Ore Mining,20.21,https://climate-change.canada.ca/facility-emissions/GHGRP-G10569-2022.html,ghg_facility_metal_mining_df,POINT (-97.8561 55.7138)
2022,NL-ghg-5f553726-1,Voisey's Bay Mine Site,-62.0985,56.3325,Happy Valley Goose Bay,Newfoundland and Labrador,Nickel-Copper Ore Mining,148.26,https://climate-change.canada.ca/facility-emissions/GHGRP-G10570-2022.html,ghg_facility_metal_mining_df,POINT (-62.0985 56.3325)
2022,ON-ghg-dc8b88c3-1,Sudbury Operations Mines Mill - Onaping Area,-81.3425,46.67417,Onaping,Ontario,Nickel-Copper Ore Mining,28.17,https://climate-change.canada.ca/facility-emissions/GHGRP-G10580-2022.html,ghg_facility_metal_mining_df,POINT (-81.3425 46.67417)
2022,NU-ghg-a9d2dd2b-1,Division Meadowbank,-96.074841,65.021601,Baker Lake,Nunavut,Gold and Silver Ore Mining,248.77,https://climate-change.canada.ca/facility-emissions/GHGRP-G10587-2022.html,ghg_facility_metal_mining_df,POINT (-96.074841 65.021601)
2022,QC-ghg-c5c21e20-1,Mine de Fire Lake,-67.36917,52.35028,Mont Wright,Quebec,Iron Ore Mining,53.8,https://climate-change.canada.ca/facility-emissions/GHGRP-G10589-2022.html,ghg_facility_metal_mining_df,POINT (-67.36917 52.35028)
2022,BC-ghg-47031280-1,Mount Polley Mine,-121.6328,52.5443,Likely,British Columbia,All Other Metal Ore Mining,31.81,https://climate-change.canada.ca/facility-emissions/GHGRP-G10613-2022.html,ghg_facility_metal_mining_df,POINT (-121.6328 52.5443)
