main_id,cluster_id,tailing_id,tang_id,check_manually
QC-MAIN-5801b453,0,,,False
QC-MAIN-d29e0839,1,,,False
QC-MAIN-f1ff4920,2,,,True
NU-MAIN-4ea8ac9d,No cluster,,,True
QC-MAIN-e7e6a960,2,,,True
ON-MAIN-aeafbb59,3,,,False
QC-MAIN-c0660aec,2,,,True
QC-MAIN-e51eda66,4,,,True
ON-MAIN-1f126a43,5,,,False
NU-MAIN-730aefe3,6,,,True
NU-MAIN-8b0264c9,7,,,False
MB-MAIN-5d21dbd5,No cluster,,,True
ON-MAIN-74997012,No cluster,,,True
ON-MAIN-687b8c8d,8,,,True
ON-MAIN-7607a50e,9,,,True
QC-MAIN-52c01ae4,No cluster,,,True
QC-MAIN-eac5a52b,No cluster,,,True
QC-MAIN-81a288d0,10,,,True
QC-MAIN-c8966bdc,11,,,True
ON-MAIN-eab8c362,12,,,True
QC-MAIN-8c7063b2,No cluster,,,True
BC-MAIN-3ef4f421,13,,,False
AB-MAIN-9fed34a8,No cluster,,,True
NB-MAIN-9e0c4fb2,No cluster,,,True
ON-MAIN-9623499f,14,,,True
QC-MAIN-abe563b5,15,,,True
QC-MAIN-a1159813,16,,,True
QC-MAIN-15d7c629,No cluster,,,True
QC-MAIN-41bf5ea5,16,,,True
ON-MAIN-8056a739,17,,,True
QC-MAIN-30ff61c3,18,,,True
QC-MAIN-33c09b8b,19,,,False
QC-MAIN-084bd95c,20,,,True
QC-MAIN-1eee4ace,18,,,True
QC-MAIN-844dcc47,18,,,True
QC-MAIN-e25eed27,21,,,False
ON-MAIN-4c35e094,14,,,True
ON-MAIN-8825d90d,8,,,True
SK-MAIN-de2e2f8e,No cluster,,,True
ON-MAIN-e928d96a,22,,,True
NB-MAIN-e55cb3d1,No cluster,,,True
NT-MAIN-4f11f183,23,,,True
ON-MAIN-46f71d5b,No cluster,,,True
SK-MAIN-f79436ec,No cluster,,,True
YT-MAIN-2cc9bb06,No cluster,,,True
NU-MAIN-5154702a,No cluster,,,True
ON-MAIN-6e9be24e,24,,,True
AB-MAIN-8434dce0,No cluster,,,True
NL-MAIN-895cb178,25,,,False
NT-MAIN-6c1d6ee6,26,,,False
QC-MAIN-715d4318,16,,,True
AB-MAIN-2951d12e,27,,,True
NB-MAIN-0c5b40d8,No cluster,,,True
ON-MAIN-484e4fa3,No cluster,,,True
SK-MAIN-91cf5448,28,,,False
SK-MAIN-bb89158f,29,,,True
SK-MAIN-d3c471e8,30,,,False
ON-MAIN-237587f6,No cluster,,,True
ON-MAIN-4c5c1179,31,,,True
NB-MAIN-8e04eb21,32,,,False
ON-MAIN-37e9571e,33,,,False
NB-MAIN-3e7d42ac,34,,,True
NU-MAIN-eae1621e,No cluster,,,True
QC-MAIN-5ce331b8,No cluster,,,True
BC-MAIN-eba3e309,35,,,False
BC-MAIN-e34feb4d,36,,,False
