main_id,wpda_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-5801b453,QC-WPDA-7193f974,41548.72,39434.64
QC-MAIN-5801b453,QC-WPDA-44331946,19681.35,19272.28
QC-MAIN-5801b453,QC-WPDA-c83223d1,24793.83,24776.25
QC-MAIN-5801b453,QC-WPDA-2a83beb8,49880.72,49200.57
QC-MAIN-5801b453,QC-WPDA-70dbef4b,34006.33,33367.76
QC-MAIN-5801b453,QC-WPDA-d12b56a6,44599.81,44118.65
QC-MAIN-5801b453,QC-WPDA-38464d10,46615.03,45433.71
QC-MAIN-5801b453,QC-WPDA-e82d747d,35727.75,34904.58
QC-MAIN-5801b453,QC-WPDA-3deab216,20488.71,19802.28
QC-MAIN-5801b453,QC-WPDA-1ce3f84c,44938.92,44303.84
QC-MAIN-5801b453,QC-WPDA-3cae6f2d,47124.18,45973.72
QC-MAIN-5801b453,QC-WPDA-489c206d,40131.66,39415.76
QC-MAIN-5801b453,QC-WPDA-2fedacb3,50075.35,48891.56
QC-MAIN-5801b453,QC-WPDA-81e5e22c,45763.53,44396.39
QC-MAIN-5801b453,QC-WPDA-8d75e725,41398.12,40782.3
QC-MAIN-5801b453,QC-WPDA-e879c751,42828.42,41961.47
QC-MAIN-5801b453,QC-WPDA-886d23ac,47873.03,47033.2
QC-MAIN-5801b453,QC-WPDA-63822a31,30311.27,29152.03
QC-MAIN-5801b453,QC-WPDA-78b164e9,25087.94,24660.53
QC-MAIN-5801b453,QC-WPDA-fbd0e5e1,26502.09,26312.66
QC-MAIN-5801b453,QC-WPDA-eb3e6399,16336.34,15682.65
QC-MAIN-5801b453,QC-WPDA-351f3457,38107.49,37807.51
QC-MAIN-5801b453,QC-WPDA-0f10f3f9,32667.15,32036.23
QC-MAIN-5801b453,QC-WPDA-9d4a88fe,41036.17,40193.59
QC-MAIN-5801b453,QC-WPDA-45cdca9d,46152.77,45019.85
QC-MAIN-5801b453,QC-WPDA-e3c5a921,30923.33,30539.33
QC-MAIN-5801b453,QC-WPDA-3deb06d1,40819.84,40224.14
QC-MAIN-5801b453,QC-WPDA-b27446b5,33995.94,33126.94
QC-MAIN-5801b453,QC-WPDA-6ac846e4,115012.19,35187.85
QC-MAIN-d29e0839,QC-WPDA-aeee3c18,44011.52,43192.0
QC-MAIN-d29e0839,QC-WPDA-1f9c3ee1,39434.2,38274.42
QC-MAIN-d29e0839,QC-WPDA-46f15913,48050.41,46677.87
QC-MAIN-d29e0839,QC-WPDA-c98e069e,64326.93,39821.89
QC-MAIN-d29e0839,QC-WPDA-6d540167,49029.75,29483.8
QC-MAIN-d29e0839,QC-WPDA-c83223d1,46697.66,46675.28
QC-MAIN-d29e0839,QC-WPDA-595d35da,43617.96,42877.88
QC-MAIN-d29e0839,QC-WPDA-c7089cd2,32442.25,32205.55
QC-MAIN-d29e0839,QC-WPDA-fcff5de2,44461.17,43513.88
QC-MAIN-d29e0839,QC-WPDA-c2afed45,43800.97,43443.47
QC-MAIN-d29e0839,QC-WPDA-0906a10b,32631.58,31257.29
QC-MAIN-d29e0839,QC-WPDA-70dbef4b,42671.37,41908.89
QC-MAIN-d29e0839,QC-WPDA-9dc8d776,15760.96,14850.62
QC-MAIN-d29e0839,QC-WPDA-41ed8106,32784.64,32085.12
QC-MAIN-d29e0839,QC-WPDA-f76e681b,22635.46,20896.32
QC-MAIN-d29e0839,QC-WPDA-4b513783,30541.08,29685.7
QC-MAIN-d29e0839,QC-WPDA-d12b56a6,27130.12,26305.18
QC-MAIN-d29e0839,QC-WPDA-2f6e9194,30845.22,30436.76
QC-MAIN-d29e0839,QC-WPDA-e82d747d,36718.16,35848.97
QC-MAIN-d29e0839,QC-WPDA-1a79ce12,20662.29,19881.09
