npv_id,main_id,name,latitude,longitude,biome_type,geometry
NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,48.715909,-55.196,Cool Mixed Forest,POINT (-55.196 48.715909)
NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,49.845,-55.7753,,POINT (-55.7753 49.845)
NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,49.915,-56.087,Cool Mixed Forest,POINT (-56.087 49.915)
NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,49.96142,-56.124447,Cool Mixed Forest,POINT (-56.124447 49.96142)
NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,56.331659,-62.090855,Cold Evergreen Needleleaf Forest,POINT (-62.090855 56.331659)
NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,52.907129,-66.912573,Cold Evergreen Needleleaf Forest,POINT (-66.912573 52.907129)
NL-MAIN-dd723db4,NL-MAIN-dd723db4,Carol Lake,53.039755,-66.936774,Cold Evergreen Needleleaf Forest,POINT (-66.936774 53.039755)
NL-MAIN-e09881ff,NL-MAIN-e09881ff,DSO (3 and 4),54.890828,-67.081916,Cold Evergreen Needleleaf Forest,POINT (-67.081916 54.890828)
NS-MAIN-c9c77a59,NS-MAIN-c9c77a59,Moose River Consolidated,44.98243,-62.94292,Cool Mixed Forest,POINT (-62.94292 44.98243)
NS-MAIN-baf0bfbd,NS-MAIN-baf0bfbd,Donkin,46.178108,-59.825861,Cool Mixed Forest,POINT (-59.825861 46.178108)
NS-MAIN-fb4e8e94,NS-MAIN-fb4e8e94,Stellarton,45.566074,-62.682864,Cool Mixed Forest,POINT (-62.682864 45.566074)
QC-MAIN-e82266c5,QC-MAIN-e82266c5,Lac Tio,50.5541,-63.416,Cold Evergreen Needleleaf Forest,POINT (-63.416 50.5541)
QC-MAIN-089f3c60,QC-MAIN-089f3c60,Bloom Lake,52.84,-67.28,,POINT (-67.28 52.84)
QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,52.757053,-67.330058,Cold Evergreen Needleleaf Forest,POINT (-67.330058 52.757053)
QC-MAIN-b8c826a2,QC-MAIN-b8c826a2,DSO (Goodwood),55.09939,-67.34778,Cold Evergreen Needleleaf Forest,POINT (-67.34778 55.09939)
QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,52.352998,-67.363935,Cold Evergreen Needleleaf Forest,POINT (-67.363935 52.352998)
QC-MAIN-a555d9b9,QC-MAIN-a555d9b9,Niobec,48.532148,-71.156929,Cool Mixed Forest,POINT (-71.156929 48.532148)
QC-MAIN-a97821c0,QC-MAIN-a97821c0,Raglan,61.687171,-73.674669,Low and High Shrub Tundra,POINT (-73.674669 61.687171)
QC-MAIN-5ce331b8,QC-MAIN-5ce331b8,Nunavik Nickel,61.420856,-74.1375,Low and High Shrub Tundra,POINT (-74.1375 61.420856)
QC-MAIN-6dc537e6,QC-MAIN-6dc537e6,Éléonore,52.69889,-76.08667,Cold Evergreen Needleleaf Forest,POINT (-76.08667 52.69889)
QC-MAIN-f9e41c2a,QC-MAIN-f9e41c2a,Lamaque,48.079221,-77.739624,Cool Mixed Forest,POINT (-77.739624 48.079221)
QC-MAIN-dc1a16f9,QC-MAIN-dc1a16f9,North American Lithium,48.4115,-77.80934,,POINT (-77.80934 48.4115)
QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,48.0926,-77.8733,,POINT (-77.8733 48.0926)
QC-MAIN-9de9bb0d,QC-MAIN-9de9bb0d,Kiena,48.12,-77.91,,POINT (-77.91 48.12)
QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,49.13259,-77.97434,Cool Mixed Forest,POINT (-77.97434 49.13259)
QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,48.122223,-78.130824,Cool Mixed Forest,POINT (-78.130824 48.122223)
QC-MAIN-e51eda66,QC-MAIN-e51eda66,LaRonde,48.2516,-78.428,Cool Mixed Forest,POINT (-78.428 48.2516)
QC-MAIN-02884fb5,QC-MAIN-02884fb5,Westwood-Doyon,48.256,-78.502,Cool Mixed Forest,POINT (-78.502 48.256)
QC-MAIN-b86f7d07,QC-MAIN-b86f7d07,Casa Berardi,49.5719,-79.231307,Cool Mixed Forest,POINT (-79.231307 49.5719)
QC-MAIN-3032c251,QC-MAIN-3032c251,Renard,52.813913,-72.190579,Cold Evergreen Needleleaf Forest,POINT (-72.190579 52.813913)
ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,50.018143,-79.717631,Cool Evergreen Needleleaf Forest,POINT (-79.717631 50.018143)
ON-MAIN-1f126a43,ON-MAIN-1f126a43,Macassa,48.142528,-80.071637,Cool Mixed Forest,POINT (-80.071637 48.142528)
ON-MAIN-4e0734b5,ON-MAIN-4e0734b5,Fox Complex,48.534362,-80.340814,Cool Mixed Forest,POINT (-80.340814 48.534362)
ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,47.94667,-80.67444,Cool Mixed Forest,POINT (-80.67444 47.94667)
