peatland_id,main_id,facility_name,longitude,latitude,geometry,peatland_presence
NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,-55.196,48.715909,POINT (-55.196 48.715909),No data
NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,-55.7753,49.845,POINT (-55.7753 49.845),No data
NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,-56.087,49.915,POINT (-56.087 49.915),peat in soil mosaic
NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,-56.124447,49.96142,POINT (-56.124447 49.96142),peat in soil mosaic
NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,-62.090855,56.331659,POINT (-62.090855 56.331659),No data
NL-MAIN-b64bae7a,NL-MAIN-b64bae7a,Scully,-66.912573,52.907129,POINT (-66.912573 52.907129),No data
NL-MAIN-dd723db4,NL-MAIN-dd723db4,Carol Lake,-66.936774,53.039755,POINT (-66.936774 53.039755),No data
NL-MAIN-e09881ff,NL-MAIN-e09881ff,DSO (3 and 4),-67.081916,54.890828,POINT (-67.081916 54.890828),No data
NS-MAIN-c9c77a59,NS-MAIN-c9c77a59,Moose River Consolidated,-62.94292,44.98243,POINT (-62.94292 44.98243),No data
NS-MAIN-baf0bfbd,NS-MAIN-baf0bfbd,Donkin,-59.825861,46.178108,POINT (-59.825861 46.178108),peat in soil mosaic
NS-MAIN-fb4e8e94,NS-MAIN-fb4e8e94,Stellarton,-62.682864,45.566074,POINT (-62.682864 45.566074),No data
QC-MAIN-e82266c5,QC-MAIN-e82266c5,Lac Tio,-63.416,50.5541,POINT (-63.416 50.5541),No data
QC-MAIN-089f3c60,QC-MAIN-089f3c60,Bloom Lake,-67.28,52.84,POINT (-67.28 52.84),No data
QC-MAIN-084bd95c,QC-MAIN-084bd95c,Mont-Wright,-67.330058,52.757053,POINT (-67.330058 52.757053),No data
QC-MAIN-b8c826a2,QC-MAIN-b8c826a2,DSO (Goodwood),-67.34778,55.09939,POINT (-67.34778 55.09939),No data
QC-MAIN-33c09b8b,QC-MAIN-33c09b8b,Fire Lake,-67.363935,52.352998,POINT (-67.363935 52.352998),No data
QC-MAIN-a555d9b9,QC-MAIN-a555d9b9,Niobec,-71.156929,48.532148,POINT (-71.156929 48.532148),No data
QC-MAIN-a97821c0,QC-MAIN-a97821c0,Raglan,-73.674669,61.687171,POINT (-73.674669 61.687171),No data
QC-MAIN-5ce331b8,QC-MAIN-5ce331b8,Nunavik Nickel,-74.1375,61.420856,POINT (-74.1375 61.420856),No data
QC-MAIN-6dc537e6,QC-MAIN-6dc537e6,Éléonore,-76.08667,52.69889,POINT (-76.08667 52.69889),No data
QC-MAIN-f9e41c2a,QC-MAIN-f9e41c2a,Lamaque,-77.739624,48.079221,POINT (-77.739624 48.079221),peat in soil mosaic
QC-MAIN-dc1a16f9,QC-MAIN-dc1a16f9,North American Lithium,-77.80934,48.4115,POINT (-77.80934 48.4115),No data
QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,-77.8733,48.0926,POINT (-77.8733 48.0926),peat in soil mosaic
QC-MAIN-9de9bb0d,QC-MAIN-9de9bb0d,Kiena,-77.91,48.12,POINT (-77.91 48.12),No data
QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,-77.97434,49.13259,POINT (-77.97434 49.13259),peat in soil mosaic
