row_id,population_id,main_id,name,year,buffer_size,total_population
population-5801b453-2025-1,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,2025,10km,1305.9018602927854
population-5801b453-2025-2,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,2025,50km,63977.83057428292
population-5801b453-2030-1,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,2030,10km,1338.0889845531553
population-5801b453-2030-2,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,2030,50km,65434.15409766603
population-d29e0839-2025-1,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,2025,10km,0.0
population-d29e0839-2025-2,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,2025,50km,919.5582553863928
population-d29e0839-2030-1,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,2030,10km,0.0
population-d29e0839-2030-2,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,2030,50km,940.0397387087445
population-f1ff4920-2025-1,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,2025,10km,90.6728908880479
population-f1ff4920-2025-2,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,2025,50km,50369.118121940024
population-f1ff4920-2030-1,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,2030,10km,92.72419531885625
population-f1ff4920-2030-2,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,2030,50km,51512.92938187669
population-4ea8ac9d-2025-1,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,2025,10km,0.0
population-4ea8ac9d-2025-2,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,2025,50km,0.0
population-4ea8ac9d-2030-1,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,2030,10km,0.0
population-4ea8ac9d-2030-2,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,2030,50km,0.0
population-e7e6a960-2025-1,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,2025,10km,4490.380217639397
population-e7e6a960-2025-2,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,2025,50km,53446.90496249795
population-e7e6a960-2030-1,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,2030,10km,4588.886652095737
population-e7e6a960-2030-2,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,2030,50km,54655.0339465118
population-aeafbb59-2025-1,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,2025,10km,0.0
population-aeafbb59-2025-2,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,2025,50km,0.01738503819797188
population-aeafbb59-2030-1,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,2030,10km,0.0
population-aeafbb59-2030-2,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,2030,50km,0.017780637950636446
population-c0660aec-2025-1,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,2025,10km,31403.371318131358
population-c0660aec-2025-2,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,2025,50km,50469.10169722445
population-c0660aec-2030-1,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,2030,10km,32145.603184328207
population-c0660aec-2030-2,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,2030,50km,51607.99027181136
