main_id,name,year,buffer_size,total_population,geometry
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,10km,38.1331182718277,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,50km,561.9217351870611,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,10km,41.13853371143341,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,50km,606.208922165446,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,10km,38.1331182718277,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,50km,561.9217351870611,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,10km,41.13853371143341,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,50km,606.208922165446,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,10km,38.1331182718277,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,50km,561.9217351870611,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,10km,41.13853371143341,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,50km,606.208922165446,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,10km,38.1331182718277,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2025,50km,561.9217351870611,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,10km,41.13853371143341,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,2030,50km,606.208922165446,POINT (-135.4833 63.9167)
NU-MAIN-15f39d07-1,Amaruq,2025,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2025,50km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,10km,0.0,POINT (-96.697 65.415)
NU-MAIN-15f39d07-1,Amaruq,2030,50km,0.0,POINT (-96.697 65.415)
ON-MAIN-87c0220c-1,Detour Lake,2025,10km,0.0,POINT (-79.717631 50.018143)
ON-MAIN-87c0220c-1,Detour Lake,2025,50km,0.01738503819797188,POINT (-79.717631 50.018143)
ON-MAIN-87c0220c-1,Detour Lake,2030,10km,0.0,POINT (-79.717631 50.018143)
ON-MAIN-87c0220c-1,Detour Lake,2030,50km,0.017780637950636446,POINT (-79.717631 50.018143)
ON-MAIN-87c0220c-1,Detour Lake,2025,10km,0.0,POINT (-79.717631 50.018143)
ON-MAIN-87c0220c-1,Detour Lake,2025,50km,0.01738503819797188,POINT (-79.717631 50.018143)
