wpda_id,NAME,DESIG,OWN_TYPE,MANG_AUTH,STATUS_YR,longitude,latitude
AB-WPDA-7617a1f2,Wood Buffalo National Park Of Canada,National Park,State,Parks Canada Agency,1922,-112.7739753877914,59.18565193182697
NT-WPDA-f99b62d0,Wood Buffalo National Park Of Canada,National Park,State,Parks Canada Agency,1922,-114.17839635609829,60.2926703422413
YT-WPDA-75b555cc,Kluane National Park Reserve Of Canada,National Park,State,Parks Canada Agency,1972,-138.4846473333333,60.441679332333386
NU-WPDA-c31a7f0a,Auyuittuq National Park Of Canada,National Park,State,Parks Canada Agency,1972,-65.33848332799803,67.52772803777528
NU-WPDA-b6c6ec6a,Auyuittuq National Park Of Canada,National Park,State,Parks Canada Agency,1972,-66.22778601171294,67.29607277393032
AB-WPDA-9d3969e1,Jasper National Park Of Canada,National Park,State,Parks Canada Agency,1907,-118.5752811973333,53.046379198666706
AB-WPDA-ee684caa,Banff National Park Of Canada,National Park,State,Parks Canada Agency,1885,-115.93937149633328,51.36292491533339
NT-WPDA-4be08064,Nahanni National Park Reserve Of Canada,National Park,State,Parks Canada Agency,2012,-125.47888446978948,61.61809544419517
SK-WPDA-c5b888d0,Prince Albert National Park Of Canada,National Park,State,Parks Canada Agency,1927,-106.2455173037021,53.865373418217985
MB-WPDA-f6fe57a8,Riding Mountain National Park Of Canada,National Park,State,Parks Canada Agency,1929,-100.16771850950425,50.84631695158711
NL-WPDA-21840fea,Gros Morne National Park Of Canada,National Park,State,Parks Canada Agency,1973,-57.55736361323515,49.65831652131904
ON-WPDA-907f8fea,Pukaskwa National Park Of Canada,National Park,State,Parks Canada Agency,1971,-85.89986403973074,48.316452251862295
BC-WPDA-dc217738,Kootenay National Park Of Canada,National Park,State,Parks Canada Agency,1920,-115.90324371066662,50.769776525666735
BC-WPDA-fa5750bc,Glacier National Park Of Canada,National Park,State,Parks Canada Agency,1886,-117.38626343999996,51.16681896733337
BC-WPDA-7de44bb1,Yoho National Park Of Canada,National Park,State,Parks Canada Agency,1886,-116.50929127433331,51.28175292400005
NS-WPDA-b4d8aeda,Cape Breton Highlands National Park Of Canada,National Park,State,Parks Canada Agency,1936,-60.628395763943296,46.68686770414162
AB-WPDA-b7ba1af0,Waterton Lakes National Park Of Canada,National Park,State,Parks Canada Agency,1895,-113.79164939399998,49.02313056633339
ZZ-WPDA-9f798261,Terra Nova Migratory Bird Sanctuary,Migratory Bird Sanctuary,State,"Canadian Wildlife Service, Atlantic Region",1967,-53.949485846421666,48.57909164289774
ZZ-WPDA-219bd5ce,Pacific Rim National Park Reserve Of Canada,National Park,State,Parks Canada Agency,1970,-125.22707286573129,48.82909096582676
BC-WPDA-870174c0,Pacific Rim National Park Reserve Of Canada,National Park,State,Parks Canada Agency,1970,-125.03708904527227,48.77709028783671
NS-WPDA-240a9c7f,Kejimkujik National Park And National Historic Site Of Canada,National Park,State,Parks Canada Agency,1988,-64.82673047099996,43.85233970900005
