row_id,main_id,name,indicator,value,year,scenario,source_id,geometry
water_risk-5801b453-2020-baseline-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2020-baseline-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2020-baseline-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2020-baseline-4,QC-MAIN-5801b453,Abcourt-Barvue,Groundwater Table Decline Label,Insignificant Trend,2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2020-baseline-5,QC-MAIN-5801b453,Abcourt-Barvue,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-bau-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-bau-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-bau-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-pes-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-pes-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-pes-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-opt-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-opt-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2030-opt-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-bau-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-bau-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-bau-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-pes-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-pes-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-pes-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-opt-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-opt-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2050-opt-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-bau-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low-medium (10-20%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-bau-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low - Medium (5-25%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-bau-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-pes-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Medium-high (20-40%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-pes-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low - Medium (5-25%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-pes-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-opt-1,QC-MAIN-5801b453,Abcourt-Barvue,Water Stress Label,Low (<10%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-opt-2,QC-MAIN-5801b453,Abcourt-Barvue,Water Depletion Label,Low (<5%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-5801b453-2080-opt-3,QC-MAIN-5801b453,Abcourt-Barvue,Interannual Variability Label,Medium - High (0.50-0.75),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.67901 48.52154)
water_risk-d29e0839-2020-baseline-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2020-baseline-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2020-baseline-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2020-baseline-4,QC-MAIN-d29e0839,Sleeping Giant,Groundwater Table Decline Label,Insignificant Trend,2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
