main_id,mincan_id,distance_m,name,namemine,similarity_full_score,similarity_partial_score
YT-MAIN-ab926389-1,YT-MINCAN-4bd22bb9-1,5676.59,Keno Hill Silver District,,13.793103448275868,33.333333333333336
YT-MAIN-ab926389-1,YT-MINCAN-a947d3f5-1,10776.18,Keno Hill Silver District,Bellekeno,23.529411764705888,46.15384615384615
YT-MAIN-ab926389-1,YT-MINCAN-1483e47f-1,3170.19,Keno Hill Silver District,Elsa,13.793103448275868,25.0
YT-MAIN-ab926389-1,YT-MINCAN-b451ff4c-1,8650.64,Keno Hill Silver District,Historic Keno Hill District,69.23076923076923,83.72093023255813
NU-MAIN-15f39d07-1,NU-MINCAN-f5600cfd-1,0.0,Amaruq,Amaruq,100.0,100.0
ON-MAIN-87c0220c-1,ON-MINCAN-d3cdc933-1,712.46,Detour Lake,Detour Lake,100.0,100.0
ON-MAIN-87c0220c-1,ON-MINCAN-52adcae7-1,466.91,Detour Lake,Detour Lake,100.0,100.0
NU-MAIN-22b6a486-1,NU-MINCAN-ee1ef2e2-1,1158.75,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-b9901c24-1,NU-MINCAN-9e755e0a-1,0.0,Meliadine,Meliadine,100.0,100.0
ON-MAIN-042d0b12-1,ON-MINCAN-b91117ba-1,7661.95,Island,Edwards,30.76923076923077,40.0
ON-MAIN-042d0b12-1,ON-MINCAN-2b3870ec-1,1358.62,Island,Island Gold,70.58823529411764,100.0
ON-MAIN-042d0b12-1,ON-MINCAN-26c0bf07-1,211.38,Island,Magino,33.333333333333336,44.44444444444444
ON-MAIN-042d0b12-1,ON-MINCAN-9c4275cb-1,14864.66,Island,Cobatec Operations,16.666666666666664,33.333333333333336
ON-MAIN-ca1b538d-1,ON-MINCAN-9de3d77e-1,3243.78,Young-Davidson,,22.22222222222222,66.66666666666667
ON-MAIN-ca1b538d-1,ON-MINCAN-b949a107-1,1401.29,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-ca1b538d-1,ON-MINCAN-34cf75c6-1,8956.59,Young-Davidson,Glendinning or Yarrow Township,22.72727272727273,28.57142857142857
ON-MAIN-079ac66d-1,ON-MINCAN-45c483e6-1,2435.94,Hemlo (Williams),David Bell,23.076923076923073,33.333333333333336
ON-MAIN-079ac66d-1,ON-MINCAN-aa0c7f6e-1,863.51,Hemlo (Williams),Golden Giant,28.57142857142857,33.333333333333336
ON-MAIN-079ac66d-1,ON-MINCAN-193cff17-1,376.37,Hemlo (Williams),Williams or Page-Williams,53.65853658536586,69.23076923076923
QC-MAIN-cb4de7b8-1,QC-MINCAN-031d9b4a-1,19031.72,Lamaque,,18.181818181818176,40.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-6ccb3cc0-1,14118.06,Lamaque,Kiena,16.666666666666664,33.333333333333336
QC-MAIN-cb4de7b8-1,QC-MINCAN-a2686122-1,12565.14,Lamaque,,18.181818181818176,40.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-e8d63c0a-1,17868.02,Lamaque,Louvicourt,23.529411764705888,40.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-88e87266-1,10106.22,Lamaque,Goldex,15.384615384615385,28.57142857142857
QC-MAIN-cb4de7b8-1,QC-MINCAN-110653ed-1,9018.21,Lamaque,Lac Herbin,35.29411764705882,46.15384615384615
QC-MAIN-cb4de7b8-1,QC-MINCAN-763f2bdd-1,2797.33,Lamaque,Lamarque,93.33333333333333,85.71428571428572
QC-MAIN-cb4de7b8-1,QC-MINCAN-16fe766c-1,9186.2,Lamaque,,18.181818181818176,40.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-69c7249a-1,9793.57,Lamaque,Manitou-Barvue,38.095238095238095,50.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-7571a53f-1,2278.24,Lamaque,Mine East Sullivan (Sullico),17.14285714285714,28.57142857142857
QC-MAIN-cb4de7b8-1,QC-MINCAN-94109418-1,7828.65,Lamaque,Joubi,16.666666666666664,28.57142857142857
QC-MAIN-cb4de7b8-1,QC-MINCAN-8b33c1d7-1,6410.21,Lamaque,Mine Bras D'Or (Zone Dumont),11.428571428571432,18.181818181818176
QC-MAIN-cb4de7b8-1,QC-MINCAN-7f574bf8-1,12180.55,Lamaque,Wrightbar,12.5,22.22222222222222
QC-MAIN-cb4de7b8-1,QC-MINCAN-af9fd9f2-1,18038.72,Lamaque,"Lucien Beliveau, New Pascalis",22.22222222222222,50.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-3805ed29-1,13166.48,Lamaque,Mine Simkar (Louvicourt GoldFields),19.047619047619047,28.57142857142857
QC-MAIN-cb4de7b8-1,QC-MINCAN-d9a38b82-1,12791.26,Lamaque,Groleau-Trenholme,25.0,44.44444444444444
QC-MAIN-cb4de7b8-1,QC-MINCAN-be45f36c-1,17017.16,Lamaque,Louvem,46.15384615384615,50.0
QC-MAIN-cb4de7b8-1,QC-MINCAN-af9b8623-1,9198.63,Lamaque,Mine Ferderber (Belmoral),12.5,30.76923076923077
QC-MAIN-cb4de7b8-1,QC-MINCAN-cf33bc5a-1,16605.26,Lamaque,Beaufor (Courvan),16.666666666666664,36.36363636363637
QC-MAIN-cb4de7b8-1,QC-MINCAN-be2aab84-1,2693.71,Lamaque,Sigma,33.333333333333336,44.44444444444444
BC-MAIN-f5fe547c-1,,,Elk,,,
NL-MAIN-b066a0c7-1,NL-MINCAN-f7d269e2-1,9142.06,Point Rousse,Rambler Tailings,21.42857142857143,37.5
NL-MAIN-b066a0c7-1,NL-MINCAN-e8bb29c4-1,408.47,Point Rousse,Pine Cove,57.14285714285714,58.82352941176471
NL-MAIN-b066a0c7-1,NL-MINCAN-e8fb5f67-1,5450.35,Point Rousse,,37.5,50.0
NL-MAIN-b066a0c7-1,NL-MINCAN-e8e7478f-1,3385.15,Point Rousse,Stog’er Tight,24.0,33.333333333333336
NL-MAIN-b066a0c7-1,NL-MINCAN-28bb767c-1,5369.44,Point Rousse,Baie Verte Tailings,25.806451612903224,37.5
NL-MAIN-b066a0c7-1,NL-MINCAN-fc6413b6-1,5766.55,Point Rousse,Ming,25.0,50.0
ON-MAIN-86b89a70-1,ON-MINCAN-c975e787-1,0.0,Fox Complex,Black Fox,30.000000000000004,50.0
ON-MAIN-86b89a70-1,ON-MINCAN-19b6e309-1,6998.9,Fox Complex,,26.66666666666667,33.333333333333336
ON-MAIN-86b89a70-1,ON-MINCAN-5ca79b5d-1,15094.41,Fox Complex,Larder Lake Division,12.903225806451612,19.999999999999996
ON-MAIN-86b89a70-1,ON-MINCAN-a8fc68bb-1,7541.24,Fox Complex,Ross,13.33333333333333,33.333333333333336
ON-MAIN-86b89a70-1,ON-MINCAN-64338276-1,12007.27,Fox Complex,,26.66666666666667,33.333333333333336
ON-MAIN-6b291dc6-1,ON-MINCAN-09222ef6-1,0.0,Borden,Borden,100.0,100.0
QC-MAIN-03247f98-1,QC-MINCAN-84c51948-1,0.0,Éléonore,Éléonore,100.0,100.0
ON-MAIN-5a030c69-1,ON-MINCAN-5f254d07-1,8646.02,Hollinger,,46.15384615384615,50.0
