main_id,wpda_id,distance_m,name,NAME,similarity_full_score,similarity_partial_score
YT-MAIN-ab926389-1,,,Keno Hill Silver District,,,
NU-MAIN-15f39d07-1,,,Amaruq,,,
ON-MAIN-87c0220c-1,,,Detour Lake,,,
NU-MAIN-22b6a486-1,,,Meadowbank,,,
NU-MAIN-b9901c24-1,,,Meliadine,,,
ON-MAIN-042d0b12-1,,,Island,,,
ON-MAIN-ca1b538d-1,,,Young-Davidson,,,
ON-MAIN-079ac66d-1,,,Hemlo (Williams),,,
QC-MAIN-cb4de7b8-1,,,Lamaque,,,
BC-MAIN-f5fe547c-1,,,Elk,,,
NL-MAIN-b066a0c7-1,,,Point Rousse,,,
ON-MAIN-86b89a70-1,,,Fox Complex,,,
ON-MAIN-6b291dc6-1,,,Borden,,,
QC-MAIN-03247f98-1,,,Éléonore,,,
ON-MAIN-5a030c69-1,,,Hollinger,,,
ON-MAIN-a86e1632-1,,,Hoyle Pond,,,
ON-MAIN-ec0e3472-1,,,Porcupine,,,
ON-MAIN-87eff5d8-1,,,Bell Creek,,,
ON-MAIN-af364a50-1,,,Timmins West,,,
ON-MAIN-f22b9058-1,,,Sugar Zone,,,
SK-MAIN-fb71dcba-1,,,Santoy,,,
SK-MAIN-409d52eb-1,,,Seabee,,,
NS-MAIN-7611a9c0-1,,,Moose River Consolidated,,,
YT-MAIN-24f21978-1,,,Eagle (Dublin Gulch),,,
ON-MAIN-d0063de8-1,,,Eagle River,,,
QC-MAIN-918440f1-1,,,Kiena,,,
ON-MAIN-36212738-1,,,Mishi,,,
QC-MAIN-efc41be6-1,,,Sleeping Giant,,,
QC-MAIN-b1e99caf-1,,,Canadian Malartic,,,
QC-MAIN-547f4bc7-1,,,Goldex,,,
ON-MAIN-efe5148b-1,,,Macassa,,,
ON-MAIN-cb6d25a5-1,,,Magino,,,
ON-MAIN-578ec529-1,,,Red Lake,,,
QC-MAIN-e3cedb7d-1,,,Casa Berardi,,,
QC-MAIN-20601058-1,,,Westwood-Doyon,,,
ON-MAIN-bfbfae34-1,,,Rainy River,,,
BC-MAIN-6709f0d0-1,,,Brucejack,,,
ON-MAIN-46afc5a3-1,,,Musselwhite,,,
MB-MAIN-8f99fefb-1,,,New Britannia,,,
BC-MAIN-e6cded7f-1,,,Mount Polley,,,
BC-MAIN-bc178f67-1,,,New Afton,,,
BC-MAIN-95797c9b-1,,,Red Chris,,,
MB-MAIN-1136efa4-1,,,Stall Lake,,,
MB-MAIN-fd93bf0f-1,,,Lalor Lake,,,
QC-MAIN-44440aa8-1,,,LaRonde,,,
BC-MAIN-0910057b-1,,,Brule,,,
BC-MAIN-963c4503-1,,,Willow Creek,,,
BC-MAIN-e24a35ee-1,,,Wolverine,,,
AB-MAIN-7ae40bd3-1,,,Grande Cache,,,
BC-MAIN-9ae2b136-1,,,Elkview,,,
BC-MAIN-fc1cc254-1,,,Fording River,,,
BC-MAIN-c5a3b064-1,,,Greenhills,,,
NS-MAIN-d018933a-1,,,Donkin,,,
BC-MAIN-e58d2ef9-1,,,Line Creek,,,
AB-MAIN-b18786c7-1,,,Vista,,,
NS-MAIN-1f720bce-1,,,Stellarton,,,
AB-MAIN-fe3207ad-1,,,Coal Valley,,,
SK-MAIN-4422e7f6-1,,,Estevan,,,
AB-MAIN-0d96b8b1-1,,,Genesee,,,
SK-MAIN-bba063c3-1,,,Poplar River,,,
MB-MAIN-27fe043e-1,,,Tanco,,,
NL-MAIN-3fb87140-1,,,Nugget Pond,,,
BC-MAIN-040f6522-1,,,Highland Valley,,,
BC-MAIN-15627f87-1,,,Mount Milligan,,,
NL-MAIN-bd410410-1,,,Ming,,,
BC-MAIN-435152ad-1,,,Copper Mountain,,,
YT-MAIN-68063961-1,,,Minto,,,
BC-MAIN-1342ed5d-1,,,Gibraltar,,,
ON-MAIN-dcf3194d-1,,,McCreedy West,,,
ON-MAIN-af5d904f-1,,,Kidd Creek,,,
NT-MAIN-7e17e361-1,,,Ekati,,,
NT-MAIN-debdc8cf-1,,,Gahcho Kué,,,
NT-MAIN-72d9e68b-1,,,Diavik,,,
QC-MAIN-410d5427-1,,,Renard,,,
QC-MAIN-31468429-1,,,Fire Lake,,,
QC-MAIN-e37f7069-1,,,Mont-Wright,,,
NU-MAIN-2375f916-1,,,Mary River,,,
QC-MAIN-a3f1b673-1,,,Bloom Lake,,,
NL-MAIN-2d168cf5-1,,,Carol Lake,,,
NL-MAIN-26e5bd2d-1,,,Scully,,,
NL-MAIN-c5737f5f-1,,,DSO (3 and 4),,,
QC-MAIN-696faf4f-1,,,DSO (Goodwood),,,
QC-MAIN-dc872009-1,,,Lac Tio,,,
QC-MAIN-4c223b8f-1,,,North American Lithium,,,
QC-MAIN-a55bfb50-1,,,Niobec,,,
MB-MAIN-c8fbe1c0-1,,,Thompson (T-1 and T-3),,,
NL-MAIN-be92136a-1,,,Voisey’s Bay,,,
ON-MAIN-7b682137-1,,,Nickel Rim South,,,
ON-MAIN-8d7da620-1,,,Totten,,,
ON-MAIN-e79f2bec-1,,,Strathcona,,,
ON-MAIN-22af9c76-1,,,Clarabelle,,,
ON-MAIN-48489720-1,,,Coleman,,,
ON-MAIN-20ca68bc-1,,,Copper Cliff Complex,,,
ON-MAIN-9e805c41-1,,,Creighton,,,
ON-MAIN-eba2313b-1,,,Garson,,,
ON-MAIN-2a7426bd-1,,,Fraser,,,
QC-MAIN-2747f5c0-1,,,Nunavik Nickel,,,
QC-MAIN-5a8a80ca-1,,,Raglan,,,
ON-MAIN-bf708684-1,,,Lac des Iles,,,
NL-MAIN-f9946847-1,,,Beaver Brook,,,
SK-MAIN-3fcec2e7-1,,,Cigar Lake,,,
SK-MAIN-cbbe4602-1,,,Key Lake,,,
SK-MAIN-fa315b6c-1,,,McArthur River,,,
SK-MAIN-cec62931-1,,,McClean Lake,,,
AB-MAIN-088a29d1-1,,,Horizon,,,
AB-MAIN-c1f37e9f-1,,,Jackpine,,,
AB-MAIN-3014a94d-1,,,Muskeg River,,,
AB-MAIN-bfdf3cbd-1,,,Kearl,,,
