main_id,tang_id,distance_to_centroid_m,distance_to_edge_m
YT-MAIN-ab926389-1,YT-TANG-66718dff-1,9035.47,8278.61
YT-MAIN-ab926389-1,YT-TANG-b76d7015-1,1886.47,1715.93
YT-MAIN-ab926389-1,YT-TANG-2a11472a-1,7503.02,7276.42
YT-MAIN-ab926389-1,YT-TANG-44ab7717-1,1412.06,1297.48
YT-MAIN-ab926389-1,YT-TANG-9ca29250-1,2680.59,2403.24
YT-MAIN-ab926389-1,YT-TANG-f70edc74-1,1446.52,1312.72
YT-MAIN-ab926389-1,YT-TANG-3d55f393-1,8573.82,8235.31
YT-MAIN-ab926389-1,YT-TANG-1c69fef2-1,637.6,180.31
YT-MAIN-ab926389-1,YT-TANG-cb2d2fa3-1,9180.59,8805.3
YT-MAIN-ab926389-1,YT-TANG-b41b49c3-1,7407.62,7265.55
YT-MAIN-ab926389-1,YT-TANG-1becddeb-1,4320.43,3750.98
YT-MAIN-ab926389-1,YT-TANG-557517d1-1,1252.77,303.66
YT-MAIN-ab926389-1,YT-TANG-a94fcaa6-1,5970.09,5615.36
YT-MAIN-ab926389-1,YT-TANG-a25ca41d-1,10237.5,9454.32
NU-MAIN-15f39d07-1,,,
ON-MAIN-87c0220c-1,ON-TANG-a40a6f4e-1,2029.34,1100.09
ON-MAIN-87c0220c-1,ON-TANG-49ffd805-1,677.63,94.45
ON-MAIN-87c0220c-1,ON-TANG-29ad494f-1,1427.3,545.16
ON-MAIN-87c0220c-1,ON-TANG-c2f9b0db-1,3687.34,1977.14
ON-MAIN-87c0220c-1,ON-TANG-c56e232d-1,1185.12,85.06
ON-MAIN-87c0220c-1,ON-TANG-35f8714d-1,1534.95,870.89
ON-MAIN-87c0220c-1,ON-TANG-f422ebef-1,6105.71,5508.25
NU-MAIN-22b6a486-1,NU-TANG-7f219702-1,9314.83,9198.2
NU-MAIN-22b6a486-1,NU-TANG-993eee72-1,7915.81,7768.99
NU-MAIN-22b6a486-1,NU-TANG-a69eea6f-1,7529.51,7448.81
NU-MAIN-22b6a486-1,NU-TANG-9778e31f-1,7087.59,6895.47
NU-MAIN-22b6a486-1,NU-TANG-6bee1e60-1,856.57,58.18
NU-MAIN-22b6a486-1,NU-TANG-550559ab-1,7470.49,7276.5
NU-MAIN-22b6a486-1,NU-TANG-9b381842-1,7276.09,7206.09
NU-MAIN-22b6a486-1,NU-TANG-b77cad6c-1,6981.53,5843.73
NU-MAIN-b9901c24-1,,,
ON-MAIN-042d0b12-1,ON-TANG-8c76f1be-1,704.71,544.02
ON-MAIN-042d0b12-1,ON-TANG-a3adfda5-1,1995.53,1519.74
ON-MAIN-042d0b12-1,ON-TANG-453da99f-1,2575.73,1863.05
ON-MAIN-042d0b12-1,ON-TANG-d33f4fe2-1,10491.52,9643.11
ON-MAIN-ca1b538d-1,ON-TANG-05924ff7-1,2822.67,2325.75
ON-MAIN-ca1b538d-1,ON-TANG-980685ca-1,1552.03,1439.66
ON-MAIN-ca1b538d-1,ON-TANG-b3416c1e-1,1489.33,1362.85
ON-MAIN-ca1b538d-1,ON-TANG-e5043c20-1,1503.76,1371.98
ON-MAIN-ca1b538d-1,ON-TANG-0efa9e3d-1,2928.49,2116.01
ON-MAIN-ca1b538d-1,ON-TANG-dae6a79a-1,4938.45,4748.75
ON-MAIN-ca1b538d-1,ON-TANG-f7142135-1,752.42,165.65
ON-MAIN-ca1b538d-1,ON-TANG-f3315ae5-1,4366.49,4105.58
ON-MAIN-ca1b538d-1,ON-TANG-054accde-1,5614.23,5545.39
ON-MAIN-ca1b538d-1,ON-TANG-76ba8b63-1,5504.41,5087.18
ON-MAIN-079ac66d-1,ON-TANG-15051d70-1,3672.98,1851.87
ON-MAIN-079ac66d-1,ON-TANG-d3d24d0b-1,1629.03,1318.02
ON-MAIN-079ac66d-1,ON-TANG-3b43a9ec-1,900.79,323.33
ON-MAIN-079ac66d-1,ON-TANG-58336e0b-1,1104.19,476.76
QC-MAIN-cb4de7b8-1,QC-TANG-bf660769-1,9654.28,9382.89
QC-MAIN-cb4de7b8-1,QC-TANG-49326615-1,8154.05,7484.11
