main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
YT-MAIN-ab926389-1,,,
NU-MAIN-15f39d07-1,ZZ-IND-e75f313f-1,104644.74,4607.17
ON-MAIN-87c0220c-1,,,
NU-MAIN-22b6a486-1,ZZ-IND-e75f313f-1,81609.0,3035.03
NU-MAIN-b9901c24-1,ZZ-IND-d500c53b-1,99917.14,1065.22
ON-MAIN-042d0b12-1,,,
ON-MAIN-ca1b538d-1,ZZ-IND-0b549d88-1,13334.21,9858.42
ON-MAIN-079ac66d-1,,,
QC-MAIN-cb4de7b8-1,,,
BC-MAIN-f5fe547c-1,,,
NL-MAIN-b066a0c7-1,,,
ON-MAIN-86b89a70-1,,,
ON-MAIN-6b291dc6-1,ZZ-IND-52a9a2b8-1,6778.01,5927.45
ON-MAIN-6b291dc6-1,ZZ-IND-80e56217-1,8532.31,7534.28
ON-MAIN-6b291dc6-1,ZZ-IND-03a5022e-1,10038.33,9506.98
ON-MAIN-6b291dc6-1,ZZ-IND-0f65e4e4-1,10420.4,9794.13
ON-MAIN-6b291dc6-1,ZZ-IND-d5c8b10b-1,12100.03,9799.82
ON-MAIN-6b291dc6-1,ZZ-IND-3b6923b4-1,10332.02,9532.67
QC-MAIN-03247f98-1,,,
ON-MAIN-5a030c69-1,,,
ON-MAIN-a86e1632-1,,,
ON-MAIN-ec0e3472-1,,,
ON-MAIN-87eff5d8-1,,,
ON-MAIN-af364a50-1,,,
ON-MAIN-f22b9058-1,,,
SK-MAIN-fb71dcba-1,,,
SK-MAIN-409d52eb-1,,,
NS-MAIN-7611a9c0-1,,,
YT-MAIN-24f21978-1,ZZ-IND-50397080-1,41753.11,5169.21
ON-MAIN-d0063de8-1,,,
QC-MAIN-918440f1-1,,,
ON-MAIN-36212738-1,,,
QC-MAIN-efc41be6-1,,,
QC-MAIN-b1e99caf-1,,,
QC-MAIN-547f4bc7-1,,,
ON-MAIN-efe5148b-1,,,
ON-MAIN-cb6d25a5-1,,,
ON-MAIN-578ec529-1,,,
QC-MAIN-e3cedb7d-1,,,
QC-MAIN-20601058-1,,,
ON-MAIN-bfbfae34-1,,,
BC-MAIN-6709f0d0-1,,,
ON-MAIN-46afc5a3-1,,,
MB-MAIN-8f99fefb-1,,,
BC-MAIN-e6cded7f-1,,,
BC-MAIN-bc178f67-1,,,
BC-MAIN-95797c9b-1,,,
MB-MAIN-1136efa4-1,,,
MB-MAIN-fd93bf0f-1,,,
QC-MAIN-44440aa8-1,,,
BC-MAIN-0910057b-1,,,
BC-MAIN-963c4503-1,,,
BC-MAIN-e24a35ee-1,,,
AB-MAIN-7ae40bd3-1,,,
BC-MAIN-9ae2b136-1,,,
BC-MAIN-fc1cc254-1,,,
BC-MAIN-c5a3b064-1,,,
NS-MAIN-d018933a-1,,,
BC-MAIN-e58d2ef9-1,,,
AB-MAIN-b18786c7-1,,,
NS-MAIN-1f720bce-1,ZZ-IND-4376cbc4-1,9794.97,9324.86
AB-MAIN-fe3207ad-1,,,
SK-MAIN-4422e7f6-1,,,
AB-MAIN-0d96b8b1-1,,,
SK-MAIN-bba063c3-1,,,
MB-MAIN-27fe043e-1,,,
NL-MAIN-3fb87140-1,,,
BC-MAIN-040f6522-1,,,
BC-MAIN-15627f87-1,,,
NL-MAIN-bd410410-1,,,
BC-MAIN-435152ad-1,,,
YT-MAIN-68063961-1,ZZ-IND-971da58a-1,54159.6,4974.3
BC-MAIN-1342ed5d-1,ZZ-IND-fdb88dfb-1,2884.67,2336.68
BC-MAIN-1342ed5d-1,ZZ-IND-2a63082d-1,6777.97,6420.97
ON-MAIN-dcf3194d-1,,,
ON-MAIN-af5d904f-1,,,
NT-MAIN-7e17e361-1,,,
NT-MAIN-debdc8cf-1,,,
NT-MAIN-72d9e68b-1,,,
QC-MAIN-410d5427-1,,,
QC-MAIN-31468429-1,,,
QC-MAIN-e37f7069-1,,,
NU-MAIN-2375f916-1,ZZ-IND-52c4e8ca-1,105094.79,9172.33
QC-MAIN-a3f1b673-1,,,
NL-MAIN-2d168cf5-1,,,
NL-MAIN-26e5bd2d-1,,,
NL-MAIN-c5737f5f-1,,,
QC-MAIN-696faf4f-1,,,
QC-MAIN-dc872009-1,,,
QC-MAIN-4c223b8f-1,,,
QC-MAIN-a55bfb50-1,,,
MB-MAIN-c8fbe1c0-1,,,
NL-MAIN-be92136a-1,,,
ON-MAIN-7b682137-1,,,
ON-MAIN-8d7da620-1,,,
ON-MAIN-e79f2bec-1,,,
ON-MAIN-22af9c76-1,,,
ON-MAIN-48489720-1,,,
ON-MAIN-20ca68bc-1,,,
ON-MAIN-9e805c41-1,ZZ-IND-262edb0c-1,17628.86,7823.07
ON-MAIN-eba2313b-1,,,
ON-MAIN-2a7426bd-1,,,
QC-MAIN-2747f5c0-1,,,
QC-MAIN-5a8a80ca-1,,,
ON-MAIN-bf708684-1,,,
NL-MAIN-f9946847-1,,,
SK-MAIN-3fcec2e7-1,,,
SK-MAIN-cbbe4602-1,,,
SK-MAIN-fa315b6c-1,,,
SK-MAIN-cec62931-1,,,
AB-MAIN-088a29d1-1,,,
AB-MAIN-c1f37e9f-1,ZZ-IND-cf923bbd-1,10977.73,4863.94
AB-MAIN-3014a94d-1,ZZ-IND-0adb44ee-1,9225.47,7052.11
AB-MAIN-3014a94d-1,ZZ-IND-cf923bbd-1,13514.86,8953.84
AB-MAIN-3014a94d-1,ZZ-IND-cd790e72-1,9862.93,4852.49
AB-MAIN-bfdf3cbd-1,,,
AB-MAIN-49171f37-1,ZZ-IND-cf923bbd-1,12044.83,7650.06
AB-MAIN-189a0c74-1,,,
AB-MAIN-0b9235e1-1,ZZ-IND-cf923bbd-1,5862.9,4147.57
