main_id,wpda_id,distance_to_centroid_m,distance_to_edge_m
YT-MAIN-ab926389-1,,,
NU-MAIN-15f39d07-1,,,
ON-MAIN-87c0220c-1,,,
NU-MAIN-22b6a486-1,,,
NU-MAIN-b9901c24-1,,,
ON-MAIN-042d0b12-1,,,
ON-MAIN-ca1b538d-1,ON-WPDA-8b43918a-1,10593.43,4452.09
ON-MAIN-ca1b538d-1,ON-WPDA-3ac6cbf2-1,13518.21,1937.55
ON-MAIN-ca1b538d-1,ON-WPDA-dd768caf-1,17608.77,9868.81
ON-MAIN-079ac66d-1,ON-WPDA-55c6fea3-1,14005.34,9150.67
QC-MAIN-cb4de7b8-1,QC-WPDA-f5dd4097-1,19189.05,9889.22
BC-MAIN-f5fe547c-1,,,
NL-MAIN-b066a0c7-1,,,
ON-MAIN-86b89a70-1,ON-WPDA-e792b8b5-1,6431.4,5504.36
ON-MAIN-6b291dc6-1,ON-WPDA-51856fc0-1,42902.5,6980.72
QC-MAIN-03247f98-1,,,
ON-MAIN-5a030c69-1,,,
ON-MAIN-a86e1632-1,,,
ON-MAIN-ec0e3472-1,,,
ON-MAIN-87eff5d8-1,,,
ON-MAIN-af364a50-1,ON-WPDA-6eab0ecf-1,12050.57,7986.59
ON-MAIN-f22b9058-1,ON-WPDA-f576e477-1,7077.77,4967.54
SK-MAIN-fb71dcba-1,,,
SK-MAIN-409d52eb-1,,,
NS-MAIN-7611a9c0-1,NS-WPDA-b9648517-1,7129.76,2962.67
NS-MAIN-7611a9c0-1,NS-WPDA-8918f39d-1,11552.79,3016.62
NS-MAIN-7611a9c0-1,NS-WPDA-32f42755-1,13523.32,1365.86
NS-MAIN-7611a9c0-1,NS-WPDA-c7a5cac3-1,8926.63,8605.99
NS-MAIN-7611a9c0-1,NS-WPDA-17a2b007-1,8926.63,8605.99
YT-MAIN-24f21978-1,,,
ON-MAIN-d0063de8-1,,,
QC-MAIN-918440f1-1,QC-WPDA-92adcdf5-1,24252.78,4116.8
ON-MAIN-36212738-1,ON-WPDA-b57a0984-1,10669.22,8604.59
QC-MAIN-efc41be6-1,QC-WPDA-e520b550-1,9809.41,8540.96
