Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10002,Aciérie - ArcelorMittal Contrecoeur,ArcelorMittal Produits Longs Canada s.e.n.c,Contrecoeur,0 3900 Route des Aciéries,J0L 1C0,Quebec,45.82055,-73.26362,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10002-2017.html,"http://indicators-map.canada.ca/App/Detail?id=0110002&GoCTemplateCulture=en-CA
"
10010,Rio Tinto Alcan Inc.,Rio Tinto Alcan Inc,Kitimat,1 Smeltersite Road,V8C 2H2,British Columbia,54.00286,-128.69531,420.39,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10010-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110010&GoCTemplateCulture=en-CA
"
10011,Algoma Steel Inc,Algoma Steel Inc.,Sault Ste. Marie,105 West Street North,P6A 7B4,Ontario,46.5217,-84.3637,3936.24,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10011-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110011&GoCTemplateCulture=en-CA
"
10012,Aluminerie Alouette inc.,Aluminerie Alouette inc.,SeptÎles,400 Chemin de de la Pointe-Noire,G4R 5M9,Quebec,50.1583,-66.4416,1140.9,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10012-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110012&GoCTemplateCulture=en-CA
"
10013,Aluminerie de Baie-Comeau,Ne pas prendre - Alcoa Canada Co.,Baie Comeau,0 100 Maritime Route,G4Z 2L6,Quebec,49.2583,-68.1461,534.69,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10013-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110013&GoCTemplateCulture=en-CA
"
10014,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,Bécancour,5555 Pierre Thibault,G9H 2T7,Quebec,46.3829,-72.3874,821.53,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10014-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110014&GoCTemplateCulture=en-CA
"
10035,Brunswick Smelter,Glencore Canada Corporation,Belledune,692 Main Street,E8G 2M1,New Brunswick,47.8992,-65.8339,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10035-2019.html,"http://indicators-map.canada.ca/App/Detail?id=0110035&GoCTemplateCulture=en-CA
"
10076,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Rio Tinto Fer et Titane inc.,Sorel Tracy,1625 Marie-Victorin,J3R 1M6,Quebec,46.0475,-73.13778,982.93,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10076-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110076&GoCTemplateCulture=en-CA
"
10077,Copper Cliff Nickel Refinery,Vale Canada Limited,Copper Cliff,175 Industrial Road,P0M 1N0,Ontario,46.4452,-81.0846,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10077-2018.html,"http://indicators-map.canada.ca/App/Detail?id=0110077&GoCTemplateCulture=en-CA
"
10078,Copper Cliff Smelter,Vale Canada Limited,Copper Cliff,18 Rink Street,P0M 1N0,Ontario,46.4786,-81.0553,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10078-2018.html,"http://indicators-map.canada.ca/App/Detail?id=0110078&GoCTemplateCulture=en-CA
"
