Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10931,Bell Creek Complex,Lake Shore Gold,Porcupine,3160 Florence Street,P0N 1C0,Ontario,48.5523,-81.173,12.15,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10931-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110931&GoCTemplateCulture=en-CA
"
10873,Brucejack Gold Mine,Pretium Resources Inc.,Stewart,215 37 Highway,V0T 1W0,British Columbia,56.46624,-130.18596,27.34,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10873-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110873&GoCTemplateCulture=en-CA
"
10052,Carol Project,Iron Ore Company of Canada,Labrador City,2 avalon Drive,A2V 2Y6,Newfoundland and Labrador,52.9565,-66.8936,780.52,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Iron Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10052-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110052&GoCTemplateCulture=en-CA
"
10904,Casa Berardi,Hecla Québec Inc.,Municipalité Eeyou Istchee Bai,zone de la rivière Théo,J9Z 2Y9,Quebec,49.3357,-79.1646,33.41,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10904-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110904&GoCTemplateCulture=en-CA
"
10923,Cigar Lake Operation,Cameco Corporation,Sasktoon,2121 11th Street West,S7M 1J3,Saskatchewan,58.0676,-104.542,20.01,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Uranium Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212291&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10923-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110923&GoCTemplateCulture=en-CA
"
11894,Copper Mountain Mine,Copper Mountain Mine (BC) Ltd.,Princeton,6500 Copper Mountain Road,V0X 1W0,British Columbia,49.34556,-120.51,70.4,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Copper-Zinc Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212233&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11894-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111894&GoCTemplateCulture=en-CA
"
12466,Côté Gold,Iamgold Corporation,Gogama,3 Mesomikenda Lake Road,P0M 1W0,Ontario,47.55556,-81.94055,91.04,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12466-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112466&GoCTemplateCulture=en-CA
"
10765,Detour Lake Project,Agnico Eagle Mines Limited (MAIN),Cochrane,End of Highway 652,,Ontario,50.0171,-79.70393,294.61,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10765-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110765&GoCTemplateCulture=en-CA
"
11770,Division Goldex,Agnico-Eagle Mines Lted (DO NOT USE),Val D'or,1953 3e avenue ouest Avenue,J9P 4N9,Quebec,48.0923,-77.874,14.21,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11770-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111770&GoCTemplateCulture=en-CA
"
11794,Division Laronde,MINES AGNICO EAGLE LIMITEE (DO NOT USE),Preissac,Route 395,J0Y 1C0,Quebec,48.2375,-78.3958,45.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11794-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111794&GoCTemplateCulture=en-CA
"
