OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,Primary_Commodity,Commodity_Group
Keno Hill Silver District,Keno Hill Silver District,Hecla Mining Company,Hecla Mining Company,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Ag, Zn, Pb","Ag, Zn, Pb","Silver, zinc, lead","Argent, zinc, plomb",Precious metals and Base metals,Métaux précieux et métaux communs,Mayo,Mayo,Yukon,Yukon,63.9167,-135.4833,Silver,Precious metals and Base metals
Amaruq,Amaruq,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Au,Au,Gold,Or,Precious metals,Métaux précieux,Baker Lake,Baker Lake,Nunavut,Nunavut,65.415,-96.697,Gold,Precious metals
Detour Lake,Detour Lake,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Northeast of Cochrane,au nord-est de Cochrane,Ontario,Ontario,50.018143,-79.717631,Gold,Precious metals
Meadowbank,Meadowbank,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Baker Lake,Baker Lake,Nunavut,Nunavut,65.0199956,-96.071313,Gold,Precious metals
Meliadine,Meliadine,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Rankin Inlet,Rankin Inlet,Nunavut,Nunavut,63.031529,-92.220206,Gold,Precious metals
Island,Island,Alamos Gold Inc.,Alamos Gold Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Dubreuilville,Dubreuilville,Ontario,Ontario,48.285667,-84.449604,Gold,Precious metals
Young-Davidson,Young-Davidson,Alamos Gold Inc.,Alamos Gold Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Matachewan,Matachewan,Ontario,Ontario,47.94667,-80.67444,Gold,Precious metals
Hemlo (Williams),Hemlo (Williams),Barrick Gold Corporation,Barrick Gold Corporation,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Marathon,Marathon,Ontario,Ontario,48.695726,-85.91598,Gold,Precious metals
Lamaque,Lamaque,Eldorado Gold,Eldorado Gold,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.079221,-77.739624,Gold,Precious metals
Elk,Elk,Gold Mountain Mining Corp.,Gold Mountain Mining Corp.,(P.),(C.O.),Open-pit,Ciel ouvert,Au,Au,Gold,Or,Precious metals,Métaux précieux,Peachland,Peachland,British Columbia,Colombie-Britannique,49.8538,-120.31487,Gold,Precious metals
Point Rousse,Point Rousse,Maritime Resources Corp.,Maritime Resources Corp.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Baie Verte,Baie Verte,Newfoundland and Labrador,Terre-Neuve-et-Labrador,49.96142,-56.124447,Gold,Precious metals
Fox Complex,Fox Complex,McEwen Mining Inc.,McEwen Mining Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Matheson,Matheson,Ontario,Ontario,48.534362,-80.340814,Gold,Precious metals
Borden,Borden,Newmont Corporation,Newmont Corporation,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Au,Au,Gold,Or,Precious metals,Métaux précieux,Chapleau,Chapleau,Ontario,Ontario,47.871883,-83.260981,Gold,Precious metals
Éléonore,Éléonore,Newmont Corporation,Newmont Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Opinaca Reservoir,réservoir Opinaca,Quebec,Québec,52.69889,-76.08667,Gold,Precious metals
Hollinger,Hollinger,Newmont Corporation,Newmont Corporation,(P.),(C.O.),Open-pit,Ciel ouvert,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.4733,-81.31314,Gold,Precious metals
Hoyle Pond,Hoyle Pond,Newmont Corporation,Newmont Corporation,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,south of Porcupine,au sud de Porcupine,Ontario,Ontario,48.5519,-81.1083,Gold,Precious metals
Porcupine,Porcupine,Newmont Corporation,Newmont Corporation,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.463511,-81.242719,Gold,Precious metals
Bell Creek,Bell Creek,Pan American Silver Corp.,Pan American Silver Corp.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.553,-81.178,Gold,Precious metals
Timmins West,Timmins West,Pan American Silver Corp.,Pan American Silver Corp.,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.383275,-81.549826,Gold,Precious metals
Sugar Zone,Sugar Zone,Silver Lake Resources Ltd.,Silver Lake Resources Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,White River,White River,Ontario,Ontario,48.80496,-85.00401,Gold,Precious metals
Santoy,Santoy,SSR Mining Inc.,SSR Mining Inc.,(U.),(Sout.),Underground,Souterraine,Au,Au,Gold,Or,Precious metals,Métaux précieux,Santoy Lake,Santoy Lake,Saskatchewan,Saskatchewan,55.66778,-103.414571,Gold,Precious metals
Seabee,Seabee,SSR Mining Inc.,SSR Mining Inc.,(C.),(Con.),Concentrator,Concentrateur,Au,Au,Gold,Or,Precious metals,Métaux précieux,Laonil Lake,Laonil Lake,Saskatchewan,Saskatchewan,55.683772,-103.622257,Gold,Precious metals
Moose River Consolidated,Moose River Consolidated,St Barbara Limited,St Barbara Limited,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Upper Musquodoboit,Upper Musquodoboit,Nova Scotia,Nouvelle-Écosse,44.98243,-62.94292,Gold,Precious metals
Eagle (Dublin Gulch),Eagle (Dublin Gulch),Victoria Gold Corporation,Victoria Gold Corporation,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Mayo,Mayo,Yukon,Yukon,64.0322,-135.8456,Gold,Precious metals
Eagle River,Eagle River,Wesdome Gold Mines Ltd.,Mines d’Or Wesdome Ltée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Wawa,Wawa,Ontario,Ontario,47.9861,-85.4619,Gold,Precious metals
Kiena,Kiena,Wesdome Gold Mines Ltd.,Mines d'Or Wesdome Ltée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Au,Au,Gold,Or,Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.12,-77.91,Gold,Precious metals
Mishi,Mishi,Wesdome Gold Mines Ltd.,Mines d’Or Wesdome Ltée,(P.),(C.O.),Open-pit,Ciel ouvert,Au,Au,Gold,Or,Precious metals,Métaux précieux,Wawa,Wawa,Ontario,Ontario,48.11028,-85.4525,Gold,Precious metals
Sleeping Giant,Géant Dormant,Abcourt Mines Inc.,Mines Abcourt Inc.,(C.),(Con.),Concentrator,Concentrateur,"Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,north of Amos,au nord d’Amos,Quebec,Québec,49.13259,-77.97434,Gold,Precious metals
Canadian Malartic,Canadian Malartic,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Malartic,Malartic,Quebec,Québec,48.122223,-78.130824,Gold,Precious metals
Goldex,Goldex,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Val-d’Or,Val-d’Or,Quebec,Québec,48.0926,-77.8733,Gold,Precious metals
Macassa,Macassa,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Kirkland Lake area,région de Kirkland Lake,Ontario,Ontario,48.142528,-80.071637,Gold,Precious metals
Magino,Magino,Argonaut Gold Inc.,Argonaut Gold Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Timmins,Timmins,Ontario,Ontario,48.28869,-84.45744,Gold,Precious metals
Red Lake,Red Lake,Evolution Mining Ltd.,Evolution Mining Ltd.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Balmertown,Balmertown,Ontario,Ontario,51.050557,-93.732922,Gold,Precious metals
Casa Berardi,Casa Berardi,Hecla Mining Company,Hecla Mining Company,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,"north of La Sarre, Casa Berardi Twp.","au nord de La Sarre, canton Casa Berardi",Quebec,Québec,49.5719,-79.231307,Gold,Precious metals
Westwood-Doyon,Westwood-Doyon,IAMGOLD Corporation,IAMGOLD Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Cadillac,Cadillac,Quebec,Québec,48.256,-78.502,Gold,Precious metals
Rainy River,Rainy River,New Gold Inc.,New Gold Inc.,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Fort Frances,Fort Frances,Ontario,Ontario,48.833,-94.012,Gold,Precious metals
Brucejack,Brucejack,Newmont Corporation,Newmont Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,Stewart,Stewart,British Columbia,Colombie-Britannique,56.47554,-130.21783,Gold,Precious metals
Musselwhite,Musselwhite,Newmont Corporation,Newmont Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Ag","Au, Ag","Gold, silver","Or, argent",Precious metals,Métaux précieux,north of Pickle Lake,au nord de Pickle Lake,Ontario,Ontario,52.6127,-90.3636,Gold,Precious metals
New Britannia,New Britannia,Hudbay Minerals Inc.,Hudbay Minerals Inc.,(C.),(Con.),Concentrator,Concentrateur,"Au, Cu","Au, Cu","Gold, copper","Or, cuivre",Base metals and precious metals,Métaux communs et métaux précieux,Snow Lake,Snow Lake,Manitoba,Manitoba,54.886349,-100.024002,Gold,Base metals and precious metals
Mount Polley,Mount Polley,Imperial Metals Corporation,Imperial Metals Corporation,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Au, Cu, Ag","Au, Cu, Ag","Gold, copper, silver","Or, cuivre, argent",Base metals,Métaux communs,northeast of Williams Lake,au nord-est de Williams Lake,British Columbia,Colombie-Britannique,52.544959,-121.633931,Gold,Base metals
