archetype_id,TR_available,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_method,mining_method_mdo,mining_submethod,commodities_nrcan,deposit_mdo,ore_type,processing_method,source,source_id,deposit_cmmi
ARCH-d29e0839-1,,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,,mining,Concentrator,Shrinkage stoping;Room-and-pillar;Longhole stoping,"Underground – Room and pillar – Room-and-Pillar, Underground – Stoping – Long-Hole Stoping, Underground – Stoping – Shrinkage Stoping","Gold, silver",VMS,Sulfide,,https://miningdataonline.com/property/1589/Sleeping-Giant-Mine.aspx,https://miningdataonline.com/property/1589/Sleeping-Giant-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-4ea8ac9d-1,Yes,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,,mining,"Open-pit, underground, concentrator","Longitudinal and transverse longhole open stoping methods, primary-secondary or pillarless mining sequences, and paste backfill​",,"Gold, zinc, copper, silver, cadmium",Polymetallic massive sulphide and lode gold deposit,,,https://miningdataonline.com/property/46/LaRonde-Mine.aspx,https://miningdataonline.com/property/46/LaRonde-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-730aefe3-1,Yes,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,Longhole stoping;Mechanized Cut & Fill;Underhand Cut & Fill;Overhand Cut & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Gold, silver","Vein / narrow vein, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/453/Macassa-Mine.aspx,https://miningdataonline.com/property/453/Macassa-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-aeafbb59-1,Yes,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,,mining,"Underground, concentrator","Long-hole mining method (both transverse and longitudinal mining); Cemented pastefill in primary stopes, rockfill in secondary stopes",,Gold,"Mesothermal lode gold deposits, primarily iron-formation-hosted",,,https://miningdataonline.com/property/959/Meliadine-Mine.aspx,https://miningdataonline.com/property/959/Meliadine-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-8b0264c9-1,,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator",Truck & Shovel / Loader;Longhole stoping,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Gold, silver","Vein / narrow vein, Skarn, Hydrothermal",Sulfide,,https://miningdataonline.com/property/44/Goldex-Mine.aspx,https://miningdataonline.com/property/44/Goldex-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-1f126a43-1,Yes,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,mining,"Underground, concentrator","Open pit, conventional truck and shovel; remote-controlled shovels, drills, and dozers used in legacy underground mining areas​",Surface – Truck & Shovel,"Gold, silver",Disseminated gold deposit,Sulfide,,https://miningdataonline.com/property/20/Canadian-Malartic-Complex.aspx,https://miningdataonline.com/property/20/Canadian-Malartic-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-e7e6a960-1,Yes,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator","Open pit, conventional truck and shovel method",Surface – Truck & Shovel,Gold,Disseminated and structurally controlled lode gold deposit​,Sulfide,,https://miningdataonline.com/property/13/Detour-Lake-Mine.aspx,https://miningdataonline.com/property/13/Detour-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-GRP-0a2c0d69-1,,Agnico Eagle Mines Limited,Meadowbank complex,,GRP-0a2c0d69,mining,"Open-pit, concentrator",Open pit truck and shovel methods; selective mining within ore zones,,Gold,"Mesothermal lode-gold mineralization (including hybrid, stratiform, and vein-type iron-formation-hosted gold deposits)​",Sulfide,,https://miningdataonline.com/property/47/Meadowbank-Mine.aspx,https://miningdataonline.com/property/47/Meadowbank-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-687b8c8d-1,,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,mining,"Underground, concentrator",Longitudinal stoping;Transverse stoping,Underground – Stoping – Long-Hole Stoping,Gold,"Intrusion related, Syenite hosted",,,https://miningdataonline.com/property/1484/young-davidson-mine.aspx,https://miningdataonline.com/property/1484/young-davidson-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-7607a50e-1,,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,mining,"Underground, concentrator",Longitudinal open stoping;Longhole open stoping;Transverse open stoping,Underground – Stoping – Long-Hole Stoping,Gold,Vein / narrow vein,Sulfide,,https://miningdataonline.com/property/7/Island-Gold-Mine.aspx,https://miningdataonline.com/property/7/Island-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-084bd95c-1,,ArcelorMittal,Fire Lake,QC-MAIN-084bd95c,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/963/Fire-Lake-Mine.aspx,https://miningdataonline.com/property/963/Fire-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-33c09b8b-1,,ArcelorMittal,Mont-Wright,QC-MAIN-33c09b8b,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/962/Mont-Wright-Mine.aspx,https://miningdataonline.com/property/962/Mont-Wright-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-8825d90d-1,,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Gold, silver","Vein / narrow vein, Orogenic, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/1752/Magino-Project.aspx,https://miningdataonline.com/property/1752/Magino-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-5154702a-1,,Baffinland Iron Mines Corporation,Mary River,NU-MAIN-5154702a,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/1752/Magino-Project.aspx,https://miningdataonline.com/property/1752/Magino-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-6e9be24e-1,Yes,Barrick Gold Corporation,Hemlo (Williams),ON-MAIN-6e9be24e,,mining,"Open-pit, underground, concentrator",Longitudinal stoping;Alimak;Transverse stoping,Underground – Stoping – Long-Hole Stoping,Gold,"Orogenic, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/57/Mary-River-Mine.aspx,https://miningdataonline.com/property/57/Mary-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-6c1d6ee6-1,,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,mining,"Underground, plant",Truck & Shovel / Loader;Sub-level Retreat,"Surface – Truck & Shovel, Underground – Caving – Sublevel Caving",Diamonds,Kimberlite,,,"https://miningdataonline.com/property/49/Hemlo-Williams,-David-Bell-Mine.aspx","https://miningdataonline.com/property/49/Hemlo-Williams,-David-Bell-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496",
ARCH-91cf5448-1,,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,mining,Underground,"Jet Boring System (JBS), frozen ore",,Uranium,Unconformity-related,,,https://miningdataonline.com/property/17/Ekati-Mine.aspx,https://miningdataonline.com/property/17/Ekati-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-GRP-21eee27d-1,,Cameco Corporation,Key Lake + McArthur River,,GRP-21eee27d,mining,"Underground, concentrator",Underground blasthole & raisebore,,Uranium,Unconformity-related,,,https://miningdataonline.com/property/26/Cigar-Lake-Mine.aspx,https://miningdataonline.com/property/26/Cigar-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-5ce331b8-1,,Canadian Royalties Inc,Nunavik Nickel,QC-MAIN-5ce331b8,,mining,"Open-pit, underground, concentrator",Truck & Shovel / Loader;Longhole stoping,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, cobalt",Magmatic,,,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-ed23117f-1,,Centerra Gold Inc,Mount Milligan,BC-MAIN-ed23117f,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Copper, gold, silver","Porphyry, Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-089f3c60-1,,Champion Iron Ltd,Bloom Lake,QC-MAIN-089f3c60,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx,https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-94e652a5-1,Yes,De Beers Canada Inc,Gahcho Kué,NT-MAIN-94e652a5,,mining,"Open-pit, plant",Truck & Shovel / Loader,Surface – Truck & Shovel,Diamonds,Kimberlite,,,https://miningdataonline.com/property/3027/Bloom-Lake-Mine.aspx,https://miningdataonline.com/property/3027/Bloom-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-f9e41c2a-1,,Eldorado Gold,Lamaque,QC-MAIN-f9e41c2a,,mining,"Underground, concentrator",Longhole stoping;Longitudinal stoping;Transverse stoping;Longitudinal retreat;Sill mining,Underground – Stoping – Long-Hole Stoping,Gold,"Vein / narrow vein, Orogenic",Sulfide,,https://miningdataonline.com/property/40/Gahcho-Ku%C3%A9-Mine.aspx,https://miningdataonline.com/property/40/Gahcho-Ku%C3%A9-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-7f050560-1,,Evolution Mining Ltd,Red Lake,ON-MAIN-7f050560,,mining,"Underground, concentrator",Sub-level open stoping (SLOS);Avoca,Underground – Stoping – Long-Hole Stoping,"Gold, silver","Vein / narrow vein, Replacement, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/1694/Lamaque-Project.aspx,https://miningdataonline.com/property/1694/Lamaque-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-c139de6d-1,,FireFly Metals Ltd,Ming,NL-MAIN-c139de6d,,mining,Concentrator,Post Pillar Cut & Fill;Longhole stoping;Transverse stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Copper, gold, silver",VMS,Sulfide,,https://miningdataonline.com/property/234/Red-Lake-Operation.aspx,https://miningdataonline.com/property/234/Red-Lake-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-a97821c0-1,,Glencore Canada Corporation,Kidd Creek,QC-MAIN-a97821c0,,mining,Underground,Longhole open stoping,Underground – Stoping – Long-Hole Stoping,"Copper, zinc, silver, selenium, indium",VMS,Sulfide,,https://miningdataonline.com/property/960/Ming-Mine.aspx,https://miningdataonline.com/property/960/Ming-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Volcanic basin hydrothermal;Volcanogenic massive sulfide (VMS);Bimodal-mafic VMS
ARCH-206041d1-1,,Glencore Canada Corporation,Fraser,ON-MAIN-206041d1,GRP-de097f20,mining,Underground,Cut & Fill;Blast Hole Stoping;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, cobalt, silver","Veing / narrow vein, Contact-metasomatic, Footwall hosted",Sulfide,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-ed85ac94-1,,Glencore Canada Corporation,Strathcona,ON-MAIN-ed85ac94,GRP-de097f20,mining,Concentrator,Cut & Fill;Blast Hole Stoping;Longhole stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Veing / narrow vein, Contact-metasomatic, Footwall hosted",Oxide or Sulfide,,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx,https://miningdataonline.com/property/1375/Sudbury-INO-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,"Magmatic hydrothermal;Epithermal;IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn"
