weather_id,year,variable,value,unit,scenario,main_id,source_id
weather-5801b453-2025-ssp126-1,2025,Daily Temperature Range,11.632902145385742,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2030-ssp126-1,2030,Daily Temperature Range,11.683677673339844,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2035-ssp126-1,2035,Daily Temperature Range,11.695585250854492,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2040-ssp126-1,2040,Daily Temperature Range,11.721718788146973,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2045-ssp126-1,2045,Daily Temperature Range,11.564793586730957,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2050-ssp126-1,2050,Daily Temperature Range,11.544557571411133,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2055-ssp126-1,2055,Daily Temperature Range,11.529197692871094,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2060-ssp126-1,2060,Daily Temperature Range,11.657013893127441,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2065-ssp126-1,2065,Daily Temperature Range,11.630748748779297,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2070-ssp126-1,2070,Daily Temperature Range,11.570588111877441,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2075-ssp126-1,2075,Daily Temperature Range,11.681291580200195,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2080-ssp126-1,2080,Daily Temperature Range,11.51243782043457,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2085-ssp126-1,2085,Daily Temperature Range,11.651453018188477,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2090-ssp126-1,2090,Daily Temperature Range,11.647845268249512,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2095-ssp126-1,2095,Daily Temperature Range,11.703520774841309,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-5801b453-2100-ssp126-1,2100,Daily Temperature Range,11.582220077514648,°C,ssp126,QC-MAIN-5801b453,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2025-ssp126-1,2025,Daily Temperature Range,11.706404685974121,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2030-ssp126-1,2030,Daily Temperature Range,11.770487785339355,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2035-ssp126-1,2035,Daily Temperature Range,11.775373458862305,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2040-ssp126-1,2040,Daily Temperature Range,11.794248580932617,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2045-ssp126-1,2045,Daily Temperature Range,11.661879539489746,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2050-ssp126-1,2050,Daily Temperature Range,11.605960845947266,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2055-ssp126-1,2055,Daily Temperature Range,11.584229469299316,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2060-ssp126-1,2060,Daily Temperature Range,11.663930892944336,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2065-ssp126-1,2065,Daily Temperature Range,11.708053588867188,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2070-ssp126-1,2070,Daily Temperature Range,11.62601375579834,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2075-ssp126-1,2075,Daily Temperature Range,11.780794143676758,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2080-ssp126-1,2080,Daily Temperature Range,11.57720947265625,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2085-ssp126-1,2085,Daily Temperature Range,11.731866836547852,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2090-ssp126-1,2090,Daily Temperature Range,11.724603652954102,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
weather-d29e0839-2095-ssp126-1,2095,Daily Temperature Range,11.745584487915039,°C,ssp126,QC-MAIN-d29e0839,https://climate-scenarios.canada.ca/?page=CanDCS6-indices
