emission_type,emission_subtype
On-Site Disposal / Élimination sur le site,Land Fill
On-Site Disposal / Élimination sur le site,Land Treatment
On-Site Disposal / Élimination sur le site,Tailings
On-Site Disposal / Élimination sur le site,Waste Rock
Off-Site Disposal / Élimination hors site,Land Fill
Off-Site Disposal / Élimination hors site,Storage
Off-Site Disposal / Élimination hors site,Tailings
Off-Site Disposal / Élimination hors site,Waste Rock
Transfers for Treatment / Transferts pour traitement,Chemical Treatment
Transfers for Recycling / Transferts pour recyclage,Energy Recovery
Transfers for Recycling / Transferts pour recyclage,Solvent Recovery
Transfers for Recycling / Transferts pour recyclage,Organic Compound Recovery
Transfers for Recycling / Transferts pour recyclage,Metal Recovery
Transfers for Recycling / Transferts pour recyclage,Used Oil Recovery
Transfers for Recycling / Transferts pour recyclage,Other
Off-Site Disposal / Élimination hors site,Underground Injection
Transfers for Treatment / Transferts pour traitement,Physical Treatment
Transfers for Treatment / Transferts pour traitement,Biological Treatment
Transfers for Treatment / Transferts pour traitement,Incineration
Transfers for Treatment / Transferts pour traitement,Transfer to a Municipal Sewage Treatment Plant
Transfers for Recycling / Transferts pour recyclage,Inorganic Compound Recovery
Transfers for Recycling / Transferts pour recyclage,Acid or Base Recovery
